length,approach
3.7485,cf*-cvx
3.8099,cf*-cvx
3.7842,cf*-cvx
3.7628,cf*-cvx
3.7818,cf*-cvx
3.8145,cf*-cvx
3.8021,cf*-cvx
3.733,cf*-cvx
3.7543,cf*-cvx
3.8366,cf*-cvx
3.7836,cf*-cvx
3.7305,cf*-cvx
3.7526,cf*-cvx
3.81,cf*-cvx
3.7639,cf*-cvx
3.781,cf*-cvx
3.7495,cf*-cvx
3.7651,cf*-cvx
3.7684,cf*-cvx
3.7935,cf*-cvx
3.7696,cf*-cvx
3.7229,cf*-cvx
3.7851,cf*-cvx
3.7557,cf*-cvx
3.7948,cf*-cvx
3.7501,cf*-cvx
3.7853,cf*-cvx
3.7742,cf*-cvx
3.7032,cf*-cvx
3.7445,cf*-cvx
3.7605,cf*-cvx
3.7917,cf*-cvx
3.7618,cf*-cvx
3.7449,cf*-cvx
3.8015,cf*-cvx
3.8086,cf*-cvx
3.8161,cf*-cvx
3.7429,cf*-cvx
3.7583,cf*-cvx
3.8881,cf*-cvx
3.77,cf*-cvx
3.8132,cf*-cvx
3.7612,cf*-cvx
3.7288,cf*-cvx
3.8257,cf*-cvx
3.7885,cf*-cvx
3.7851,cf*-cvx
3.7413,cf*-cvx
3.7806,cf*-cvx
3.7294,cf*-cvx
3.8052,cf*-cvx
3.7667,cf*-cvx
3.7917,cf*-cvx
3.7257,cf*-cvx
3.7545,cf*-cvx
3.7627,cf*-cvx
3.781,cf*-cvx
3.7481,cf*-cvx
3.7896,cf*-cvx
3.8009,cf*-cvx
3.7571,cf*-cvx
3.7515,cf*-cvx
3.7835,cf*-cvx
3.7756,cf*-cvx
3.7778,cf*-cvx
3.7564,cf*-cvx
3.7478,cf*-cvx
3.8207,cf*-cvx
3.7375,cf*-cvx
3.7857,cf*-cvx
3.7477,cf*-cvx
3.691,cf*-cvx
3.7527,cf*-cvx
3.7488,cf*-cvx
3.774,cf*-cvx
3.7546,cf*-cvx
3.7991,cf*-cvx
3.8065,cf*-cvx
3.7403,cf*-cvx
3.8042,cf*-cvx
3.8015,cf*-cvx
3.7881,cf*-cvx
3.785,cf*-cvx
3.7695,cf*-cvx
3.7908,cf*-cvx
3.7657,cf*-cvx
3.7986,cf*-cvx
3.7926,cf*-cvx
3.7909,cf*-cvx
3.799,cf*-cvx
3.7202,cf*-cvx
3.8243,cf*-cvx
3.7871,cf*-cvx
3.7796,cf*-cvx
3.7499,cf*-cvx
3.7377,cf*-cvx
3.7858,cf*-cvx
3.8075,cf*-cvx
3.7786,cf*-cvx
3.74,cf*-cvx
3.8899,cf*-als
3.978,cf*-als
3.9614,cf*-als
3.9686,cf*-als
3.9493,cf*-als
3.9005,cf*-als
3.9615,cf*-als
3.9602,cf*-als
3.916,cf*-als
3.9583,cf*-als
3.9336,cf*-als
3.9374,cf*-als
3.9744,cf*-als
3.9529,cf*-als
3.9322,cf*-als
3.9643,cf*-als
3.911,cf*-als
3.944,cf*-als
3.9417,cf*-als
3.9233,cf*-als
3.8875,cf*-als
3.9983,cf*-als
3.9888,cf*-als
3.9522,cf*-als
3.919,cf*-als
3.959,cf*-als
3.9706,cf*-als
3.8948,cf*-als
3.9296,cf*-als
3.9709,cf*-als
3.9435,cf*-als
3.955,cf*-als
3.9512,cf*-als
3.8747,cf*-als
3.9447,cf*-als
3.9214,cf*-als
3.9772,cf*-als
3.8991,cf*-als
3.9551,cf*-als
3.9421,cf*-als
3.9141,cf*-als
3.9725,cf*-als
3.9117,cf*-als
3.9142,cf*-als
3.9744,cf*-als
3.8991,cf*-als
3.9341,cf*-als
3.9279,cf*-als
3.9345,cf*-als
3.933,cf*-als
3.9634,cf*-als
3.9015,cf*-als
3.9171,cf*-als
3.9471,cf*-als
3.9612,cf*-als
3.9439,cf*-als
3.962,cf*-als
3.9522,cf*-als
3.9364,cf*-als
3.9289,cf*-als
3.9873,cf*-als
3.9037,cf*-als
3.9229,cf*-als
3.924,cf*-als
3.9516,cf*-als
3.8978,cf*-als
3.9119,cf*-als
3.9409,cf*-als
3.9533,cf*-als
3.9478,cf*-als
3.9348,cf*-als
3.9433,cf*-als
3.9389,cf*-als
3.9206,cf*-als
3.9593,cf*-als
3.9574,cf*-als
3.9593,cf*-als
3.9095,cf*-als
3.9025,cf*-als
3.9053,cf*-als
3.931,cf*-als
3.9097,cf*-als
3.9297,cf*-als
3.953,cf*-als
3.9703,cf*-als
3.949,cf*-als
3.9137,cf*-als
3.916,cf*-als
3.9506,cf*-als
3.9471,cf*-als
3.9348,cf*-als
3.9268,cf*-als
3.9438,cf*-als
3.9198,cf*-als
3.8951,cf*-als
3.9101,cf*-als
3.9171,cf*-als
3.9531,cf*-als
3.963,cf*-als
3.9223,cf*-als
3.7887,cf-cvx
3.7451,cf-cvx
3.7611,cf-cvx
3.7486,cf-cvx
3.8231,cf-cvx
3.7894,cf-cvx
3.8145,cf-cvx
3.7233,cf-cvx
3.748,cf-cvx
3.785,cf-cvx
3.7784,cf-cvx
3.7545,cf-cvx
3.7604,cf-cvx
3.7678,cf-cvx
3.7752,cf-cvx
3.74,cf-cvx
3.7369,cf-cvx
3.7367,cf-cvx
3.8003,cf-cvx
3.7505,cf-cvx
3.7965,cf-cvx
3.7356,cf-cvx
3.7929,cf-cvx
3.6988,cf-cvx
3.7481,cf-cvx
3.77,cf-cvx
3.7405,cf-cvx
3.7819,cf-cvx
3.7703,cf-cvx
3.7263,cf-cvx
3.759,cf-cvx
3.7151,cf-cvx
3.7666,cf-cvx
3.7213,cf-cvx
3.7076,cf-cvx
3.7965,cf-cvx
3.7604,cf-cvx
3.7822,cf-cvx
3.7696,cf-cvx
3.818,cf-cvx
3.7478,cf-cvx
3.8173,cf-cvx
3.7764,cf-cvx
3.7333,cf-cvx
3.7868,cf-cvx
3.7475,cf-cvx
3.7676,cf-cvx
3.763,cf-cvx
3.7609,cf-cvx
3.7581,cf-cvx
3.8063,cf-cvx
3.7931,cf-cvx
3.7512,cf-cvx
3.7828,cf-cvx
3.8058,cf-cvx
3.75,cf-cvx
3.7384,cf-cvx
3.7109,cf-cvx
3.8077,cf-cvx
3.7649,cf-cvx
3.7604,cf-cvx
3.7958,cf-cvx
3.7163,cf-cvx
3.7673,cf-cvx
3.73,cf-cvx
3.7393,cf-cvx
3.7708,cf-cvx
3.7616,cf-cvx
3.7494,cf-cvx
3.7873,cf-cvx
3.7086,cf-cvx
3.7712,cf-cvx
3.7417,cf-cvx
3.7563,cf-cvx
3.7999,cf-cvx
3.7571,cf-cvx
3.7702,cf-cvx
3.7129,cf-cvx
3.696,cf-cvx
3.7655,cf-cvx
3.8114,cf-cvx
3.6999,cf-cvx
3.7671,cf-cvx
3.7816,cf-cvx
3.7844,cf-cvx
3.7403,cf-cvx
3.7486,cf-cvx
3.7461,cf-cvx
3.7915,cf-cvx
3.7645,cf-cvx
3.7642,cf-cvx
3.7502,cf-cvx
3.7807,cf-cvx
3.7453,cf-cvx
3.7485,cf-cvx
3.7367,cf-cvx
3.7536,cf-cvx
3.7449,cf-cvx
3.7323,cf-cvx
3.8231,cf-cvx
3.9152,cf-als
3.9305,cf-als
3.9458,cf-als
3.8896,cf-als
3.9384,cf-als
3.9513,cf-als
3.9302,cf-als
3.9311,cf-als
3.9357,cf-als
3.9183,cf-als
3.9174,cf-als
3.9273,cf-als
3.9482,cf-als
3.9446,cf-als
3.9392,cf-als
3.9214,cf-als
3.9399,cf-als
3.9512,cf-als
3.9482,cf-als
3.9522,cf-als
3.9126,cf-als
3.9566,cf-als
3.9514,cf-als
3.9387,cf-als
3.9336,cf-als
3.9185,cf-als
3.9698,cf-als
3.9321,cf-als
3.94,cf-als
3.935,cf-als
3.921,cf-als
3.9239,cf-als
3.9173,cf-als
3.9408,cf-als
3.9192,cf-als
3.9208,cf-als
3.9562,cf-als
3.8952,cf-als
3.9292,cf-als
3.9465,cf-als
3.9135,cf-als
3.924,cf-als
3.9245,cf-als
3.9083,cf-als
3.9329,cf-als
3.917,cf-als
3.9252,cf-als
3.9101,cf-als
3.9275,cf-als
3.9162,cf-als
3.9447,cf-als
3.9392,cf-als
3.9172,cf-als
3.9162,cf-als
3.911,cf-als
3.9678,cf-als
3.9196,cf-als
3.9429,cf-als
3.9444,cf-als
3.9422,cf-als
3.9369,cf-als
3.9334,cf-als
3.9109,cf-als
3.9032,cf-als
3.9192,cf-als
3.9641,cf-als
3.9598,cf-als
3.9183,cf-als
3.9341,cf-als
3.9212,cf-als
3.9581,cf-als
3.958,cf-als
3.9436,cf-als
3.8976,cf-als
3.9108,cf-als
3.9717,cf-als
3.9382,cf-als
3.9532,cf-als
3.934,cf-als
3.9584,cf-als
3.9285,cf-als
3.9481,cf-als
3.9479,cf-als
3.962,cf-als
3.944,cf-als
3.9351,cf-als
3.9008,cf-als
3.9049,cf-als
3.9812,cf-als
3.9829,cf-als
3.9588,cf-als
3.8993,cf-als
3.9104,cf-als
3.9233,cf-als
3.9277,cf-als
3.8803,cf-als
3.954,cf-als
3.9313,cf-als
3.945,cf-als
3.9358,cf-als
