length,approach
4.6343,cf*-als
4.7268,cf*-als
4.6656,cf*-als
4.7082,cf*-als
4.6967,cf*-als
4.727,cf*-als
4.7229,cf*-als
4.6392,cf*-als
4.6988,cf*-als
4.6861,cf*-als
4.6636,cf*-als
4.7029,cf*-als
4.6412,cf*-als
4.7058,cf*-als
4.7379,cf*-als
4.6555,cf*-als
4.7221,cf*-als
4.6838,cf*-als
4.6689,cf*-als
4.6564,cf*-als
4.6887,cf*-als
4.6991,cf*-als
4.7293,cf*-als
4.6668,cf*-als
4.6686,cf*-als
4.6983,cf*-als
4.6764,cf*-als
4.7027,cf*-als
4.7051,cf*-als
4.6897,cf*-als
4.6926,cf*-als
4.6879,cf*-als
4.7191,cf*-als
4.7354,cf*-als
4.7251,cf*-als
4.6486,cf*-als
4.7075,cf*-als
4.6704,cf*-als
4.6966,cf*-als
4.7084,cf*-als
4.7287,cf*-als
4.6972,cf*-als
4.7509,cf*-als
4.6885,cf*-als
4.6947,cf*-als
4.6618,cf*-als
4.6928,cf*-als
4.6965,cf*-als
4.7211,cf*-als
4.7329,cf*-als
4.6361,cf*-als
4.6648,cf*-als
4.7041,cf*-als
4.6757,cf*-als
4.7012,cf*-als
4.6743,cf*-als
4.6667,cf*-als
4.7147,cf*-als
4.691,cf*-als
4.7045,cf*-als
4.7364,cf*-als
4.6786,cf*-als
4.6909,cf*-als
4.6915,cf*-als
4.664,cf*-als
4.6507,cf*-als
4.7482,cf*-als
4.7051,cf*-als
4.6638,cf*-als
4.6952,cf*-als
4.7184,cf*-als
4.6998,cf*-als
4.7029,cf*-als
4.6594,cf*-als
4.6653,cf*-als
4.7171,cf*-als
4.7208,cf*-als
4.6197,cf*-als
4.722,cf*-als
4.6615,cf*-als
4.6697,cf*-als
4.7277,cf*-als
4.7036,cf*-als
4.6666,cf*-als
4.6525,cf*-als
4.6671,cf*-als
4.6782,cf*-als
4.6632,cf*-als
4.6829,cf*-als
4.6714,cf*-als
4.7333,cf*-als
4.6443,cf*-als
4.7079,cf*-als
4.709,cf*-als
4.689,cf*-als
4.7408,cf*-als
4.7182,cf*-als
4.6553,cf*-als
4.6746,cf*-als
4.7409,cf*-als
4.7307,cf-als
4.659,cf-als
4.6852,cf-als
4.6974,cf-als
4.679,cf-als
4.6595,cf-als
4.664,cf-als
4.6884,cf-als
4.7071,cf-als
4.6398,cf-als
4.6537,cf-als
4.6889,cf-als
4.6666,cf-als
4.6804,cf-als
4.6578,cf-als
4.6509,cf-als
4.6966,cf-als
4.7415,cf-als
4.7019,cf-als
4.6705,cf-als
4.6815,cf-als
4.67,cf-als
4.6859,cf-als
4.7277,cf-als
4.6808,cf-als
4.7462,cf-als
4.7204,cf-als
4.6414,cf-als
4.6692,cf-als
4.629,cf-als
4.6498,cf-als
4.6657,cf-als
4.6497,cf-als
4.7428,cf-als
4.6354,cf-als
4.6819,cf-als
4.6732,cf-als
4.6752,cf-als
4.7023,cf-als
4.697,cf-als
4.678,cf-als
4.6951,cf-als
4.7178,cf-als
4.7062,cf-als
4.6699,cf-als
4.7021,cf-als
4.6753,cf-als
4.7197,cf-als
4.6476,cf-als
4.7401,cf-als
4.6627,cf-als
4.6939,cf-als
4.6654,cf-als
4.6095,cf-als
4.6317,cf-als
4.686,cf-als
4.6932,cf-als
4.6982,cf-als
4.6637,cf-als
4.7163,cf-als
4.7172,cf-als
4.7007,cf-als
4.6602,cf-als
4.6679,cf-als
4.7276,cf-als
4.662,cf-als
4.674,cf-als
4.681,cf-als
4.6861,cf-als
4.6907,cf-als
4.6773,cf-als
4.6881,cf-als
4.7134,cf-als
4.6661,cf-als
4.6606,cf-als
4.6826,cf-als
4.7154,cf-als
4.7228,cf-als
4.6813,cf-als
4.7047,cf-als
4.6549,cf-als
4.7013,cf-als
4.665,cf-als
4.6619,cf-als
4.6913,cf-als
4.6365,cf-als
4.6899,cf-als
4.6675,cf-als
4.6396,cf-als
4.6812,cf-als
4.6759,cf-als
4.6747,cf-als
4.652,cf-als
4.7245,cf-als
4.6692,cf-als
4.7202,cf-als
4.6755,cf-als
4.6674,cf-als
4.7044,cf-als
4.6581,cf-als
