length,approach
3.9221,cf*-cvx
3.9178,cf*-cvx
3.9417,cf*-cvx
3.8871,cf*-cvx
3.88,cf*-cvx
4.0067,cf*-cvx
3.924,cf*-cvx
4.0084,cf*-cvx
3.9377,cf*-cvx
3.9914,cf*-cvx
3.8745,cf*-cvx
3.9647,cf*-cvx
3.9589,cf*-cvx
3.9332,cf*-cvx
3.9508,cf*-cvx
3.9202,cf*-cvx
3.8533,cf*-cvx
4.0665,cf*-cvx
3.9448,cf*-cvx
3.8964,cf*-cvx
3.9206,cf*-cvx
3.9702,cf*-cvx
3.96,cf*-cvx
3.8758,cf*-cvx
4.0061,cf*-cvx
3.9513,cf*-cvx
3.9327,cf*-cvx
3.9361,cf*-cvx
3.9915,cf*-cvx
3.9386,cf*-cvx
3.9565,cf*-cvx
3.9461,cf*-cvx
4.0054,cf*-cvx
3.9633,cf*-cvx
3.9354,cf*-cvx
3.9417,cf*-cvx
3.9719,cf*-cvx
3.9181,cf*-cvx
3.9695,cf*-cvx
3.9682,cf*-cvx
3.9715,cf*-cvx
3.9155,cf*-cvx
3.9005,cf*-cvx
3.8816,cf*-cvx
3.8904,cf*-cvx
3.9967,cf*-cvx
3.9157,cf*-cvx
3.8764,cf*-cvx
4.0042,cf*-cvx
3.8687,cf*-cvx
3.962,cf*-cvx
3.9689,cf*-cvx
3.8844,cf*-cvx
3.9152,cf*-cvx
3.9226,cf*-cvx
3.8658,cf*-cvx
3.9293,cf*-cvx
3.9015,cf*-cvx
3.9382,cf*-cvx
3.9557,cf*-cvx
3.9561,cf*-cvx
3.9613,cf*-cvx
3.9556,cf*-cvx
3.872,cf*-cvx
3.9868,cf*-cvx
3.993,cf*-cvx
3.9314,cf*-cvx
3.9987,cf*-cvx
4.0055,cf*-cvx
4.0061,cf*-cvx
3.9716,cf*-cvx
3.9099,cf*-cvx
3.9779,cf*-cvx
3.933,cf*-cvx
3.9695,cf*-cvx
4.0172,cf*-cvx
3.9652,cf*-cvx
4.0049,cf*-cvx
3.9019,cf*-cvx
3.9352,cf*-cvx
3.8964,cf*-cvx
3.9736,cf*-cvx
3.9455,cf*-cvx
3.9354,cf*-cvx
3.9401,cf*-cvx
3.9428,cf*-cvx
3.9714,cf*-cvx
3.9359,cf*-cvx
3.9446,cf*-cvx
3.9599,cf*-cvx
3.8877,cf*-cvx
3.9618,cf*-cvx
3.9278,cf*-cvx
3.9873,cf*-cvx
3.9446,cf*-cvx
4.009,cf*-cvx
3.9868,cf*-cvx
3.9439,cf*-cvx
3.9434,cf*-cvx
4.0365,cf*-cvx
4.2466,cf*-als
4.2666,cf*-als
4.2379,cf*-als
4.2242,cf*-als
4.2583,cf*-als
4.2454,cf*-als
4.2466,cf*-als
4.2462,cf*-als
4.2961,cf*-als
4.2498,cf*-als
4.2044,cf*-als
4.1993,cf*-als
4.2618,cf*-als
4.2248,cf*-als
4.2737,cf*-als
4.1498,cf*-als
4.1632,cf*-als
4.2603,cf*-als
4.1754,cf*-als
4.2722,cf*-als
4.2667,cf*-als
4.2717,cf*-als
4.2247,cf*-als
4.25,cf*-als
4.2889,cf*-als
4.2424,cf*-als
4.2877,cf*-als
4.231,cf*-als
4.314,cf*-als
4.2844,cf*-als
4.2062,cf*-als
4.1991,cf*-als
4.2516,cf*-als
4.2936,cf*-als
4.2415,cf*-als
4.22,cf*-als
4.2607,cf*-als
4.2658,cf*-als
4.2704,cf*-als
4.2702,cf*-als
4.2528,cf*-als
4.2832,cf*-als
4.2819,cf*-als
4.224,cf*-als
4.2895,cf*-als
4.2849,cf*-als
4.2421,cf*-als
4.2427,cf*-als
4.3001,cf*-als
4.2,cf*-als
4.2517,cf*-als
4.2797,cf*-als
4.2113,cf*-als
4.2673,cf*-als
4.263,cf*-als
4.2558,cf*-als
4.2802,cf*-als
4.2722,cf*-als
4.2313,cf*-als
4.233,cf*-als
4.2165,cf*-als
4.2501,cf*-als
4.2467,cf*-als
4.2335,cf*-als
4.2502,cf*-als
4.2103,cf*-als
4.2887,cf*-als
4.2537,cf*-als
4.3317,cf*-als
4.2678,cf*-als
4.2654,cf*-als
4.1872,cf*-als
4.2761,cf*-als
4.2464,cf*-als
4.2058,cf*-als
4.2689,cf*-als
4.2665,cf*-als
4.2496,cf*-als
4.2622,cf*-als
4.2459,cf*-als
4.2665,cf*-als
4.2883,cf*-als
4.2418,cf*-als
4.2785,cf*-als
4.252,cf*-als
4.2809,cf*-als
4.2489,cf*-als
4.204,cf*-als
4.2493,cf*-als
4.2624,cf*-als
4.2591,cf*-als
4.2723,cf*-als
4.2622,cf*-als
4.2865,cf*-als
4.2313,cf*-als
4.3046,cf*-als
4.2228,cf*-als
4.2539,cf*-als
4.239,cf*-als
4.3476,cf*-als
3.8843,cf-cvx
