length,approach
4.962,cf*-als
5.0382,cf*-als
4.9527,cf*-als
4.9502,cf*-als
4.9788,cf*-als
5.018,cf*-als
5.0572,cf*-als
4.9119,cf*-als
4.9311,cf*-als
4.9185,cf*-als
4.9702,cf*-als
4.9282,cf*-als
4.987,cf*-als
4.9635,cf*-als
4.9644,cf*-als
4.946,cf*-als
4.9619,cf*-als
4.9429,cf*-als
4.9685,cf*-als
4.9996,cf*-als
4.9942,cf*-als
4.9105,cf*-als
5.063,cf*-als
5.0122,cf*-als
5.0546,cf*-als
4.9489,cf*-als
4.9474,cf*-als
5.0309,cf*-als
5.0055,cf*-als
5.0085,cf*-als
4.9438,cf*-als
5.0339,cf*-als
4.986,cf*-als
4.9255,cf*-als
5.0574,cf*-als
4.8937,cf*-als
4.9883,cf*-als
5.0114,cf*-als
5.0027,cf*-als
5.0151,cf*-als
4.9544,cf*-als
4.9701,cf*-als
4.918,cf*-als
5.0164,cf*-als
4.972,cf*-als
5.0473,cf*-als
5.0117,cf*-als
4.9909,cf*-als
4.9777,cf*-als
4.992,cf*-als
4.94,cf*-als
4.8952,cf*-als
4.9797,cf*-als
4.9342,cf*-als
5.0299,cf*-als
4.9615,cf*-als
5.0346,cf*-als
4.9703,cf*-als
5.0537,cf*-als
5.0058,cf*-als
4.9161,cf*-als
4.9518,cf*-als
4.9476,cf*-als
4.9797,cf*-als
4.9468,cf*-als
4.9631,cf*-als
5.0382,cf*-als
5.075,cf*-als
5.007,cf*-als
4.9265,cf*-als
5.0079,cf*-als
4.9817,cf*-als
4.931,cf*-als
4.9788,cf*-als
5.017,cf*-als
5.0273,cf*-als
4.9736,cf*-als
4.9486,cf*-als
4.9699,cf*-als
5.0213,cf*-als
4.9726,cf*-als
5.0361,cf*-als
4.9079,cf*-als
5.0878,cf*-als
5.0636,cf*-als
5.0097,cf*-als
4.9153,cf*-als
4.9723,cf*-als
5.0031,cf*-als
5.0502,cf*-als
4.9639,cf*-als
4.9772,cf*-als
5.0372,cf*-als
5.0903,cf*-als
5.0153,cf*-als
4.9807,cf*-als
5.039,cf*-als
5.0436,cf*-als
4.989,cf*-als
4.9768,cf*-als
4.8627,cf-als
4.9352,cf-als
4.8522,cf-als
4.9217,cf-als
4.9072,cf-als
4.9088,cf-als
4.9296,cf-als
4.9162,cf-als
4.9135,cf-als
4.9398,cf-als
4.8363,cf-als
4.8996,cf-als
4.918,cf-als
4.8805,cf-als
4.9084,cf-als
4.8341,cf-als
4.8633,cf-als
4.8448,cf-als
4.9082,cf-als
4.8985,cf-als
4.8616,cf-als
4.873,cf-als
4.9164,cf-als
4.9085,cf-als
4.9912,cf-als
4.8878,cf-als
4.9159,cf-als
4.8948,cf-als
4.9005,cf-als
4.925,cf-als
4.8707,cf-als
4.8873,cf-als
4.9207,cf-als
4.8785,cf-als
4.8898,cf-als
4.8578,cf-als
4.9677,cf-als
4.8777,cf-als
4.9116,cf-als
4.9006,cf-als
4.8608,cf-als
4.8851,cf-als
4.8173,cf-als
4.9026,cf-als
4.8358,cf-als
4.9111,cf-als
4.8427,cf-als
4.9035,cf-als
4.8378,cf-als
4.8663,cf-als
4.8737,cf-als
4.9043,cf-als
4.8799,cf-als
4.8742,cf-als
4.9424,cf-als
4.8377,cf-als
4.8844,cf-als
4.925,cf-als
4.8894,cf-als
4.9306,cf-als
4.8865,cf-als
4.8812,cf-als
4.8508,cf-als
4.8663,cf-als
4.846,cf-als
4.8716,cf-als
4.976,cf-als
4.9779,cf-als
4.8907,cf-als
4.8871,cf-als
4.9068,cf-als
4.885,cf-als
4.8333,cf-als
4.8677,cf-als
4.9025,cf-als
4.9046,cf-als
4.9094,cf-als
4.8492,cf-als
4.9492,cf-als
4.9063,cf-als
4.9435,cf-als
4.9577,cf-als
4.9643,cf-als
4.9653,cf-als
4.9054,cf-als
4.9132,cf-als
4.8988,cf-als
4.8761,cf-als
4.9214,cf-als
4.9553,cf-als
4.9095,cf-als
4.9138,cf-als
4.9039,cf-als
5.0007,cf-als
4.9232,cf-als
4.9862,cf-als
4.9475,cf-als
4.8876,cf-als
4.9808,cf-als
4.8726,cf-als
