length,approach
3.6016,cf*-cvx
3.5714,cf*-cvx
3.6378,cf*-cvx
3.626,cf*-cvx
3.5625,cf*-cvx
3.5969,cf*-cvx
3.5834,cf*-cvx
3.5391,cf*-cvx
3.597,cf*-cvx
3.5746,cf*-cvx
3.5607,cf*-cvx
3.6035,cf*-cvx
3.5895,cf*-cvx
3.5943,cf*-cvx
3.5741,cf*-cvx
3.6067,cf*-cvx
3.5716,cf*-cvx
3.5791,cf*-cvx
3.5769,cf*-cvx
3.6256,cf*-cvx
3.5974,cf*-cvx
3.6272,cf*-cvx
3.5719,cf*-cvx
3.5712,cf*-cvx
3.6567,cf*-cvx
3.5836,cf*-cvx
3.6032,cf*-cvx
3.6348,cf*-cvx
3.5611,cf*-cvx
3.5794,cf*-cvx
3.6388,cf*-cvx
3.6119,cf*-cvx
3.5841,cf*-cvx
3.6134,cf*-cvx
3.5975,cf*-cvx
3.6129,cf*-cvx
3.6101,cf*-cvx
3.6114,cf*-cvx
3.6154,cf*-cvx
3.6184,cf*-cvx
3.6299,cf*-cvx
3.5357,cf*-cvx
3.6126,cf*-cvx
3.5999,cf*-cvx
3.6008,cf*-cvx
3.6186,cf*-cvx
3.617,cf*-cvx
3.6339,cf*-cvx
3.5954,cf*-cvx
3.6154,cf*-cvx
3.6057,cf*-cvx
3.6121,cf*-cvx
3.5812,cf*-cvx
3.6115,cf*-cvx
3.5892,cf*-cvx
3.6021,cf*-cvx
3.5854,cf*-cvx
3.5829,cf*-cvx
3.5875,cf*-cvx
3.6349,cf*-cvx
3.5708,cf*-cvx
3.5623,cf*-cvx
3.5751,cf*-cvx
3.6244,cf*-cvx
3.5715,cf*-cvx
3.5875,cf*-cvx
3.5938,cf*-cvx
3.6061,cf*-cvx
3.6281,cf*-cvx
3.6185,cf*-cvx
3.6356,cf*-cvx
3.5685,cf*-cvx
3.5788,cf*-cvx
3.576,cf*-cvx
3.5798,cf*-cvx
3.6117,cf*-cvx
3.5787,cf*-cvx
3.6103,cf*-cvx
3.6058,cf*-cvx
3.5978,cf*-cvx
3.5511,cf*-cvx
3.5931,cf*-cvx
3.5878,cf*-cvx
3.5648,cf*-cvx
3.6072,cf*-cvx
3.595,cf*-cvx
3.5938,cf*-cvx
3.6065,cf*-cvx
3.5536,cf*-cvx
3.6367,cf*-cvx
3.6031,cf*-cvx
3.6552,cf*-cvx
3.5225,cf*-cvx
3.5801,cf*-cvx
3.6074,cf*-cvx
3.5863,cf*-cvx
3.5967,cf*-cvx
3.6425,cf*-cvx
3.6024,cf*-cvx
3.5803,cf*-cvx
3.6408,cf*-als
3.6503,cf*-als
3.6138,cf*-als
3.6294,cf*-als
3.6145,cf*-als
3.6342,cf*-als
3.6371,cf*-als
3.6429,cf*-als
3.655,cf*-als
3.6007,cf*-als
3.609,cf*-als
3.6069,cf*-als
3.6402,cf*-als
3.5838,cf*-als
3.6493,cf*-als
3.6269,cf*-als
3.614,cf*-als
3.5862,cf*-als
3.6379,cf*-als
3.6393,cf*-als
3.5928,cf*-als
3.6028,cf*-als
3.6112,cf*-als
3.6176,cf*-als
3.6393,cf*-als
3.6268,cf*-als
3.5891,cf*-als
3.6278,cf*-als
3.6174,cf*-als
3.6511,cf*-als
3.6333,cf*-als
3.6429,cf*-als
3.6227,cf*-als
3.6319,cf*-als
3.6322,cf*-als
3.6373,cf*-als
3.5781,cf*-als
3.5881,cf*-als
3.6727,cf*-als
3.634,cf*-als
3.6534,cf*-als
3.5921,cf*-als
3.6355,cf*-als
3.6268,cf*-als
3.6686,cf*-als
3.6216,cf*-als
3.6855,cf*-als
3.6161,cf*-als
3.5921,cf*-als
3.6178,cf*-als
3.6402,cf*-als
3.6363,cf*-als
3.6047,cf*-als
3.5575,cf*-als
3.5995,cf*-als
3.6332,cf*-als
3.5558,cf*-als
3.6411,cf*-als
3.6523,cf*-als
3.6446,cf*-als
3.605,cf*-als
3.618,cf*-als
3.6207,cf*-als
3.6365,cf*-als
3.5862,cf*-als
3.6229,cf*-als
3.5902,cf*-als
3.6831,cf*-als
3.6521,cf*-als
3.6245,cf*-als
3.6182,cf*-als
3.58,cf*-als
3.6205,cf*-als
3.6145,cf*-als
3.6372,cf*-als
3.6166,cf*-als
3.6159,cf*-als
3.6349,cf*-als
3.6226,cf*-als
3.6109,cf*-als
3.6233,cf*-als
3.6205,cf*-als
3.6019,cf*-als
3.5594,cf*-als
3.6197,cf*-als
3.5947,cf*-als
3.6321,cf*-als
3.6623,cf*-als
3.6231,cf*-als
3.5926,cf*-als
3.6466,cf*-als
3.6507,cf*-als
3.6322,cf*-als
3.6313,cf*-als
3.6201,cf*-als
3.6326,cf*-als
3.5638,cf*-als
3.6534,cf*-als
3.6347,cf*-als
3.6265,cf*-als
3.5609,cf-cvx
3.6101,cf-cvx
3.5991,cf-cvx
3.5858,cf-cvx
3.6086,cf-cvx
3.582,cf-cvx
3.5673,cf-cvx
3.5912,cf-cvx
3.5921,cf-cvx
3.5497,cf-cvx
3.58,cf-cvx
3.5833,cf-cvx
3.6489,cf-cvx
3.5682,cf-cvx
3.5622,cf-cvx
3.6118,cf-cvx
3.5882,cf-cvx
3.5667,cf-cvx
3.637,cf-cvx
3.6089,cf-cvx
3.5782,cf-cvx
3.5867,cf-cvx
3.5765,cf-cvx
3.5911,cf-cvx
3.5937,cf-cvx
3.6029,cf-cvx
3.5954,cf-cvx
3.6247,cf-cvx
3.6229,cf-cvx
3.6038,cf-cvx
3.6525,cf-cvx
3.6123,cf-cvx
3.5922,cf-cvx
3.5879,cf-cvx
3.572,cf-cvx
3.6117,cf-cvx
3.5561,cf-cvx
3.6008,cf-cvx
3.636,cf-cvx
3.5783,cf-cvx
3.6337,cf-cvx
3.6078,cf-cvx
3.6197,cf-cvx
3.6224,cf-cvx
3.6473,cf-cvx
3.5857,cf-cvx
3.5882,cf-cvx
3.6048,cf-cvx
3.5975,cf-cvx
3.5937,cf-cvx
3.6095,cf-cvx
3.5859,cf-cvx
3.5706,cf-cvx
3.5878,cf-cvx
3.6367,cf-cvx
3.6282,cf-cvx
3.5562,cf-cvx
3.5824,cf-cvx
3.5907,cf-cvx
3.6057,cf-cvx
3.5981,cf-cvx
3.6015,cf-cvx
3.593,cf-cvx
3.6202,cf-cvx
3.5982,cf-cvx
3.6217,cf-cvx
3.5913,cf-cvx
3.623,cf-cvx
3.5994,cf-cvx
3.6161,cf-cvx
3.5773,cf-cvx
3.5668,cf-cvx
3.5814,cf-cvx
3.5819,cf-cvx
3.6028,cf-cvx
3.5933,cf-cvx
3.5488,cf-cvx
3.599,cf-cvx
3.6105,cf-cvx
3.5933,cf-cvx
3.6136,cf-cvx
3.5844,cf-cvx
3.5363,cf-cvx
3.5963,cf-cvx
3.5648,cf-cvx
3.6228,cf-cvx
3.6174,cf-cvx
3.6205,cf-cvx
3.5696,cf-cvx
3.5621,cf-cvx
3.5856,cf-cvx
3.6236,cf-cvx
3.5786,cf-cvx
3.5714,cf-cvx
3.6002,cf-cvx
3.6325,cf-cvx
3.5751,cf-cvx
3.6197,cf-cvx
3.5937,cf-cvx
3.584,cf-cvx
3.6392,cf-als
3.6334,cf-als
3.6377,cf-als
3.6308,cf-als
3.6574,cf-als
3.6532,cf-als
3.6493,cf-als
3.6183,cf-als
3.6491,cf-als
3.5689,cf-als
3.5875,cf-als
3.6178,cf-als
3.6315,cf-als
3.5677,cf-als
3.6169,cf-als
3.6189,cf-als
3.618,cf-als
3.6161,cf-als
3.6167,cf-als
3.6418,cf-als
3.6038,cf-als
3.5827,cf-als
3.5854,cf-als
3.6111,cf-als
3.6605,cf-als
3.6052,cf-als
3.6199,cf-als
3.6165,cf-als
3.6124,cf-als
3.6163,cf-als
3.6644,cf-als
3.6322,cf-als
3.6209,cf-als
3.6222,cf-als
3.5778,cf-als
3.635,cf-als
3.6095,cf-als
3.5833,cf-als
3.6493,cf-als
3.6312,cf-als
3.6433,cf-als
3.6267,cf-als
3.5883,cf-als
3.6226,cf-als
3.6597,cf-als
3.6025,cf-als
3.6231,cf-als
3.592,cf-als
3.5979,cf-als
3.6468,cf-als
3.6081,cf-als
3.6477,cf-als
3.6147,cf-als
3.6199,cf-als
3.6434,cf-als
3.6044,cf-als
3.5596,cf-als
3.657,cf-als
3.6317,cf-als
3.6315,cf-als
3.6245,cf-als
3.6029,cf-als
3.6241,cf-als
3.7162,cf-als
3.565,cf-als
3.6039,cf-als
3.5919,cf-als
3.6219,cf-als
3.666,cf-als
3.5735,cf-als
3.6069,cf-als
3.6078,cf-als
3.6403,cf-als
3.5896,cf-als
3.6053,cf-als
3.6319,cf-als
3.6118,cf-als
3.6131,cf-als
3.6213,cf-als
3.6032,cf-als
3.6204,cf-als
3.6528,cf-als
3.6094,cf-als
3.5897,cf-als
3.6421,cf-als
3.591,cf-als
3.6241,cf-als
3.6176,cf-als
3.6299,cf-als
3.5875,cf-als
3.6374,cf-als
3.6129,cf-als
3.6161,cf-als
3.6135,cf-als
3.6427,cf-als
3.6312,cf-als
3.5832,cf-als
3.6112,cf-als
3.6557,cf-als
3.616,cf-als
