length,approach
8.2008,cf*-als
8.217,cf*-als
8.2913,cf*-als
8.2175,cf*-als
8.2967,cf*-als
8.2438,cf*-als
8.1812,cf*-als
8.3073,cf*-als
8.2279,cf*-als
8.2563,cf*-als
8.2161,cf*-als
8.2227,cf*-als
8.2051,cf*-als
8.2901,cf*-als
8.2905,cf*-als
8.2009,cf*-als
8.2206,cf*-als
8.2299,cf*-als
8.3463,cf*-als
8.2426,cf*-als
8.1785,cf*-als
8.1897,cf*-als
8.2355,cf*-als
8.3276,cf*-als
8.2201,cf*-als
8.2737,cf*-als
8.1378,cf*-als
8.1767,cf*-als
8.137,cf*-als
8.1744,cf*-als
8.316,cf*-als
8.3264,cf*-als
8.2949,cf*-als
8.2112,cf*-als
8.2895,cf*-als
8.2206,cf*-als
8.326,cf*-als
8.2459,cf*-als
8.2181,cf*-als
8.243,cf*-als
8.2926,cf*-als
8.2018,cf*-als
8.2301,cf*-als
8.2824,cf*-als
8.2313,cf*-als
8.1909,cf*-als
8.2689,cf*-als
8.2219,cf*-als
8.3241,cf*-als
8.3758,cf*-als
8.1888,cf*-als
8.2396,cf*-als
8.1872,cf*-als
8.2488,cf*-als
8.1951,cf*-als
8.3177,cf*-als
8.18,cf*-als
8.2943,cf*-als
8.3198,cf*-als
8.2604,cf*-als
8.2902,cf*-als
8.3278,cf*-als
8.3532,cf*-als
8.2063,cf*-als
8.2927,cf*-als
8.1419,cf*-als
8.2284,cf*-als
8.1622,cf*-als
8.2505,cf*-als
8.2962,cf*-als
8.213,cf*-als
8.3175,cf*-als
8.2777,cf*-als
8.2561,cf*-als
8.2722,cf*-als
8.2352,cf*-als
8.3019,cf*-als
8.2879,cf*-als
8.3112,cf*-als
8.2267,cf*-als
8.2841,cf*-als
8.3358,cf*-als
8.3278,cf*-als
8.2222,cf*-als
8.1625,cf*-als
8.2411,cf*-als
8.2859,cf*-als
8.1962,cf*-als
8.208,cf*-als
8.2906,cf*-als
8.301,cf*-als
8.2139,cf*-als
8.1553,cf*-als
8.2734,cf*-als
8.1957,cf*-als
8.2841,cf*-als
8.2853,cf*-als
8.2825,cf*-als
8.3086,cf*-als
8.3219,cf*-als
8.2436,cf-als
8.2448,cf-als
8.2304,cf-als
8.2295,cf-als
8.237,cf-als
8.1199,cf-als
8.245,cf-als
8.1956,cf-als
8.1967,cf-als
8.145,cf-als
8.2918,cf-als
8.2289,cf-als
8.1313,cf-als
8.2097,cf-als
8.2858,cf-als
8.2819,cf-als
8.2334,cf-als
8.241,cf-als
8.4036,cf-als
8.3498,cf-als
8.1471,cf-als
8.2714,cf-als
8.1878,cf-als
8.2418,cf-als
8.3237,cf-als
8.2759,cf-als
8.1207,cf-als
8.1525,cf-als
8.3088,cf-als
8.2385,cf-als
8.1691,cf-als
8.3091,cf-als
8.1816,cf-als
8.3364,cf-als
8.2312,cf-als
8.1713,cf-als
8.2033,cf-als
8.3213,cf-als
8.1811,cf-als
8.1893,cf-als
8.1821,cf-als
8.1849,cf-als
8.2447,cf-als
8.2189,cf-als
8.1705,cf-als
8.2157,cf-als
8.2918,cf-als
8.2296,cf-als
8.2703,cf-als
8.249,cf-als
8.178,cf-als
8.3201,cf-als
8.1707,cf-als
8.2163,cf-als
8.1316,cf-als
8.2152,cf-als
8.2532,cf-als
8.3063,cf-als
8.4007,cf-als
8.2181,cf-als
8.2868,cf-als
8.288,cf-als
8.3243,cf-als
8.2456,cf-als
8.2875,cf-als
8.2097,cf-als
8.2439,cf-als
8.2011,cf-als
8.2061,cf-als
8.3477,cf-als
8.1759,cf-als
8.22,cf-als
8.2016,cf-als
8.2707,cf-als
8.192,cf-als
8.2694,cf-als
8.262,cf-als
8.1615,cf-als
8.369,cf-als
8.2045,cf-als
8.3158,cf-als
8.1961,cf-als
8.1938,cf-als
8.2018,cf-als
8.202,cf-als
8.3082,cf-als
8.3315,cf-als
8.1834,cf-als
8.2783,cf-als
8.1899,cf-als
8.2194,cf-als
8.1318,cf-als
8.2469,cf-als
8.2519,cf-als
8.2156,cf-als
8.1764,cf-als
8.2839,cf-als
8.2022,cf-als
8.2434,cf-als
8.2384,cf-als
