length,approach
3.3886,cf-als
3.3771,cf-als
3.401,cf-als
3.3754,cf-als
3.3732,cf-als
3.3736,cf-als
3.3653,cf-als
3.3549,cf-als
3.3762,cf-als
3.3982,cf-als
3.3656,cf-als
3.36,cf-als
3.3864,cf-als
3.4005,cf-als
3.3527,cf-als
3.3777,cf-als
3.3657,cf-als
3.3703,cf-als
3.3644,cf-als
3.3665,cf-als
3.3889,cf-als
3.3851,cf-als
3.3748,cf-als
3.3955,cf-als
3.3517,cf-als
3.3516,cf-als
3.369,cf-als
3.3689,cf-als
3.3446,cf-als
3.3782,cf-als
3.3696,cf-als
3.3515,cf-als
3.3717,cf-als
3.3867,cf-als
3.3667,cf-als
3.382,cf-als
3.3842,cf-als
3.3747,cf-als
3.3918,cf-als
3.3645,cf-als
3.3808,cf-als
3.3831,cf-als
3.37,cf-als
3.3846,cf-als
3.3749,cf-als
3.3818,cf-als
3.343,cf-als
3.3612,cf-als
3.353,cf-als
3.3814,cf-als
3.3879,cf-als
3.3846,cf-als
3.3886,cf-als
3.3726,cf-als
3.3778,cf-als
3.3668,cf-als
3.3896,cf-als
3.3808,cf-als
3.3652,cf-als
3.3896,cf-als
3.3934,cf-als
3.3529,cf-als
3.3833,cf-als
3.3774,cf-als
3.3598,cf-als
3.3849,cf-als
3.371,cf-als
3.404,cf-als
3.4076,cf-als
3.3858,cf-als
3.3662,cf-als
3.3995,cf-als
3.3689,cf-als
3.3695,cf-als
3.3802,cf-als
3.3945,cf-als
3.4029,cf-als
3.3603,cf-als
3.3698,cf-als
3.3747,cf-als
3.3594,cf-als
3.3627,cf-als
3.4021,cf-als
3.3839,cf-als
3.3926,cf-als
3.3612,cf-als
3.3755,cf-als
3.3381,cf-als
3.3636,cf-als
3.3786,cf-als
3.3845,cf-als
3.3743,cf-als
3.3824,cf-als
3.3771,cf-als
3.3747,cf-als
3.3517,cf-als
3.381,cf-als
3.3932,cf-als
3.3936,cf-als
3.3558,cf-als
3.2949,als
3.2916,als
3.2906,als
3.2943,als
3.2901,als
3.2907,als
3.2653,als
3.2885,als
3.2859,als
3.2926,als
3.2954,als
3.2868,als
3.2883,als
3.287,als
3.278,als
3.2933,als
3.2836,als
3.2799,als
3.2835,als
3.286,als
3.2945,als
3.2813,als
3.286,als
3.2918,als
3.2904,als
3.2898,als
3.2874,als
3.2799,als
3.2817,als
3.2882,als
3.2845,als
3.2798,als
3.2887,als
3.2837,als
3.2832,als
3.293,als
3.2889,als
3.2812,als
3.2959,als
3.2905,als
3.2917,als
3.2875,als
3.2831,als
3.2952,als
3.2861,als
3.2846,als
3.2887,als
3.2845,als
3.2797,als
3.2834,als
3.2911,als
3.2912,als
3.2839,als
3.2932,als
3.2827,als
3.2803,als
3.2796,als
3.2941,als
3.2829,als
3.2949,als
3.2878,als
3.2835,als
3.2876,als
3.2892,als
3.287,als
3.2926,als
3.2896,als
3.2975,als
3.2976,als
3.2914,als
3.2849,als
3.2856,als
3.2868,als
3.2898,als
3.2806,als
3.2891,als
3.2878,als
3.29,als
3.2856,als
3.2814,als
3.2794,als
3.285,als
3.2905,als
3.2866,als
3.2887,als
3.2809,als
3.2835,als
3.2843,als
3.2832,als
3.2911,als
3.2829,als
3.2847,als
3.2893,als
3.2814,als
3.2825,als
3.2843,als
3.2926,als
3.2893,als
3.2964,als
3.283,als
