length,approach
5.6588,cf-cvx
5.5083,cf-cvx
5.7081,cf-cvx
5.2446,cf-cvx
5.688,cf-cvx
5.4703,cf-cvx
5.4844,cf-cvx
5.4447,cf-cvx
5.3659,cf-cvx
5.4964,cf-cvx
5.434,cf-cvx
5.7839,cf-cvx
5.5614,cf-cvx
5.578,cf-cvx
5.6008,cf-cvx
5.5856,cf-cvx
5.6868,cf-cvx
5.6996,cf-cvx
5.7137,cf-cvx
5.458,cf-cvx
5.5884,cf-cvx
5.6425,cf-cvx
5.572,cf-cvx
5.7311,cf-cvx
5.5753,cf-cvx
5.5744,cf-cvx
5.4787,cf-cvx
5.8177,cf-cvx
5.5926,cf-cvx
5.2377,cf-cvx
5.6122,cf-cvx
5.5703,cf-cvx
5.4196,cf-cvx
5.4089,cf-cvx
5.5994,cf-cvx
5.3983,cf-cvx
5.6089,cf-cvx
5.4373,cf-cvx
5.4106,cf-cvx
5.4472,cf-cvx
5.3826,cf-cvx
5.5336,cf-cvx
5.436,cf-cvx
5.5484,cf-cvx
5.7474,cf-cvx
5.6008,cf-cvx
5.5854,cf-cvx
5.7527,cf-cvx
5.6742,cf-cvx
5.4744,cf-cvx
5.5007,cf-cvx
5.2518,cf-cvx
5.6815,cf-cvx
5.6089,cf-cvx
5.6667,cf-cvx
5.6524,cf-cvx
5.7297,cf-cvx
5.6936,cf-cvx
5.6885,cf-cvx
5.6557,cf-cvx
5.3299,cf-cvx
5.569,cf-cvx
5.544,cf-cvx
5.5122,cf-cvx
5.5892,cf-cvx
5.5414,cf-cvx
5.3901,cf-cvx
5.4517,cf-cvx
5.6775,cf-cvx
5.5267,cf-cvx
5.423,cf-cvx
5.4043,cf-cvx
5.4888,cf-cvx
5.3074,cf-cvx
5.4624,cf-cvx
5.5162,cf-cvx
5.508,cf-cvx
5.6937,cf-cvx
5.5255,cf-cvx
5.5105,cf-cvx
5.7709,cf-cvx
5.5393,cf-cvx
5.7372,cf-cvx
5.7425,cf-cvx
5.6858,cf-cvx
5.6207,cf-cvx
5.3237,cf-cvx
5.4816,cf-cvx
5.5651,cf-cvx
5.7118,cf-cvx
5.4903,cf-cvx
5.5492,cf-cvx
5.5556,cf-cvx
5.675,cf-cvx
5.5616,cf-cvx
5.6198,cf-cvx
5.5001,cf-cvx
5.7122,cf-cvx
5.4302,cf-cvx
5.6591,cf-cvx
5.1088,cf-als
5.0011,cf-als
5.0206,cf-als
4.9455,cf-als
5.0209,cf-als
4.9765,cf-als
5.0369,cf-als
4.9882,cf-als
4.9024,cf-als
5.0552,cf-als
5.0563,cf-als
5.0364,cf-als
5.0995,cf-als
4.9783,cf-als
5.1238,cf-als
5.0301,cf-als
4.962,cf-als
4.9403,cf-als
4.8901,cf-als
5.0502,cf-als
5.0282,cf-als
4.9594,cf-als
4.942,cf-als
5.1117,cf-als
4.9479,cf-als
4.9532,cf-als
5.07,cf-als
5.0526,cf-als
5.0198,cf-als
4.9905,cf-als
5.1061,cf-als
4.962,cf-als
5.0361,cf-als
5.0292,cf-als
5.0755,cf-als
5.0399,cf-als
5.074,cf-als
4.9414,cf-als
5.0918,cf-als
4.9938,cf-als
5.0226,cf-als
5.0474,cf-als
5.0568,cf-als
5.0934,cf-als
5.1232,cf-als
4.9385,cf-als
5.0652,cf-als
4.9927,cf-als
5.0836,cf-als
4.9871,cf-als
5.0693,cf-als
5.0121,cf-als
4.9553,cf-als
5.014,cf-als
5.0957,cf-als
5.0805,cf-als
5.107,cf-als
5.0009,cf-als
5.1148,cf-als
4.9468,cf-als
5.0433,cf-als
4.964,cf-als
5.0081,cf-als
4.9968,cf-als
5.1042,cf-als
4.9803,cf-als
4.997,cf-als
5.0863,cf-als
5.1119,cf-als
4.9946,cf-als
5.0605,cf-als
4.8956,cf-als
5.0294,cf-als
4.9931,cf-als
5.0498,cf-als
5.036,cf-als
5.1084,cf-als
5.012,cf-als
5.071,cf-als
5.0542,cf-als
4.9776,cf-als
4.9651,cf-als
5.0033,cf-als
5.0845,cf-als
5.0985,cf-als
5.018,cf-als
5.0971,cf-als
4.9686,cf-als
5.0522,cf-als
5.0447,cf-als
5.0007,cf-als
4.9589,cf-als
4.9966,cf-als
5.0311,cf-als
5.1219,cf-als
5.0356,cf-als
5.0205,cf-als
4.9732,cf-als
4.9285,cf-als
5.0624,cf-als
7.1447,cvx
6.7571,cvx
7.5371,cvx
6.8774,cvx
7.2836,cvx
6.7366,cvx
7.4057,cvx
6.9228,cvx
6.8065,cvx
6.8612,cvx
7.0274,cvx
7.2798,cvx
6.589,cvx
7.4746,cvx
6.9036,cvx
6.893,cvx
7.2974,cvx
7.1934,cvx
7.0569,cvx
6.6972,cvx
7.5422,cvx
7.1242,cvx
6.6836,cvx
7.1927,cvx
6.5085,cvx
7.1033,cvx
6.411,cvx
6.8405,cvx
6.7816,cvx
6.9491,cvx
6.5521,cvx
6.6326,cvx
