length,approach
4.9576,cf-als
5.1559,cf-als
4.7419,cf-als
5.4467,cf-als
4.5771,cf-als
5.3657,cf-als
4.8751,cf-als
4.5124,cf-als
5.1872,cf-als
4.6926,cf-als
5.1052,cf-als
5.2985,cf-als
4.9066,cf-als
5.1866,cf-als
5.1517,cf-als
5.0233,cf-als
4.6982,cf-als
5.2259,cf-als
5.2272,cf-als
4.5397,cf-als
5.22,cf-als
4.8555,cf-als
5.1172,cf-als
4.5985,cf-als
4.4187,cf-als
4.8772,cf-als
4.8874,cf-als
5.5634,cf-als
4.8683,cf-als
5.1345,cf-als
4.3837,cf-als
4.7789,cf-als
5.0368,cf-als
4.3777,cf-als
5.5391,cf-als
4.7732,cf-als
4.7024,cf-als
5.2307,cf-als
5.1764,cf-als
5.0701,cf-als
5.2912,cf-als
4.8996,cf-als
4.847,cf-als
5.0635,cf-als
4.9791,cf-als
5.1188,cf-als
5.1457,cf-als
4.5958,cf-als
4.62,cf-als
4.9693,cf-als
4.7598,cf-als
4.334,cf-als
4.9751,cf-als
4.7482,cf-als
4.9492,cf-als
4.8771,cf-als
4.5656,cf-als
5.854,cf-als
5.168,cf-als
4.9423,cf-als
5.0664,cf-als
4.8983,cf-als
4.8615,cf-als
4.4661,cf-als
5.2267,cf-als
4.9813,cf-als
4.5703,cf-als
4.5167,cf-als
4.8867,cf-als
4.7214,cf-als
5.0749,cf-als
4.8295,cf-als
4.7618,cf-als
4.9432,cf-als
5.0574,cf-als
4.6418,cf-als
4.7166,cf-als
4.6503,cf-als
4.8558,cf-als
5.0711,cf-als
4.7446,cf-als
9.5293,cf-als
4.8236,cf-als
5.1872,cf-als
4.54,cf-als
4.9826,cf-als
5.1785,cf-als
4.9493,cf-als
5.3057,cf-als
5.0999,cf-als
5.1183,cf-als
5.179,cf-als
4.8872,cf-als
5.2671,cf-als
5.0369,cf-als
4.7302,cf-als
4.7043,cf-als
5.2118,cf-als
4.7898,cf-als
5.1507,cf-als
9.3172,als
11.1134,als
8.9383,als
8.3946,als
8.0625,als
10.0641,als
8.4174,als
9.027,als
9.8565,als
8.1699,als
8.5107,als
9.4887,als
9.3164,als
9.4523,als
9.2764,als
8.5944,als
8.7446,als
10.2242,als
9.1713,als
8.4626,als
9.1658,als
8.2185,als
9.1597,als
8.3052,als
8.6466,als
8.5748,als
9.7308,als
10.3163,als
9.6961,als
9.2936,als
7.4445,als
8.6884,als
9.709,als
8.9202,als
9.3047,als
8.3983,als
7.5881,als
8.3959,als
9.6769,als
8.7271,als
9.4481,als
9.341,als
8.4811,als
9.3565,als
8.9664,als
8.8922,als
8.9142,als
8.4681,als
8.3976,als
9.7186,als
8.774,als
8.3985,als
8.9165,als
8.2353,als
9.6818,als
9.3171,als
8.2967,als
16.7228,als
8.7793,als
9.7264,als
8.6529,als
8.305,als
8.5969,als
8.8918,als
10.2791,als
9.5751,als
7.4816,als
8.8651,als
9.7101,als
7.9694,als
9.4243,als
8.5449,als
9.4256,als
8.331,als
9.4811,als
8.4249,als
8.6301,als
8.5698,als
8.4946,als
8.9513,als
8.2601,als
31.5571,als
8.3011,als
9.2249,als
9.3489,als
8.9907,als
8.3756,als
8.396,als
9.803,als
9.4835,als
9.256,als
8.9137,als
9.107,als
8.1796,als
8.8057,als
8.6501,als
9.1992,als
9.2807,als
8.2433,als
8.7357,als
