length,approach
9.1846,cf-cvx
9.1908,cf-cvx
8.7595,cf-cvx
9.2858,cf-cvx
9.1559,cf-cvx
9.1226,cf-cvx
9.084,cf-cvx
9.1175,cf-cvx
9.2539,cf-cvx
9.1952,cf-cvx
7.6478,cf-cvx
9.2426,cf-cvx
8.9807,cf-cvx
8.922,cf-cvx
9.1292,cf-cvx
9.0456,cf-cvx
9.1825,cf-cvx
8.827,cf-cvx
9.2722,cf-cvx
9.0846,cf-cvx
9.2178,cf-cvx
9.1962,cf-cvx
9.1498,cf-cvx
9.083,cf-cvx
8.4264,cf-cvx
9.1655,cf-cvx
9.2649,cf-cvx
9.2617,cf-cvx
9.1765,cf-cvx
9.0361,cf-cvx
8.9585,cf-cvx
9.0581,cf-cvx
9.196,cf-cvx
9.2299,cf-cvx
9.0834,cf-cvx
9.2168,cf-cvx
9.2009,cf-cvx
9.1822,cf-cvx
9.0519,cf-cvx
9.0392,cf-cvx
8.9507,cf-cvx
8.7754,cf-cvx
8.5118,cf-cvx
9.1209,cf-cvx
8.965,cf-cvx
9.1986,cf-cvx
9.2491,cf-cvx
9.0503,cf-cvx
9.2501,cf-cvx
9.0456,cf-cvx
8.8667,cf-cvx
9.1601,cf-cvx
9.3234,cf-cvx
8.8129,cf-cvx
8.3775,cf-cvx
9.1933,cf-cvx
6.8826,cf-cvx
9.1824,cf-cvx
9.1676,cf-cvx
9.1814,cf-cvx
9.0089,cf-cvx
9.3553,cf-cvx
9.1206,cf-cvx
8.5098,cf-cvx
9.1615,cf-cvx
9.0976,cf-cvx
9.0595,cf-cvx
9.2043,cf-cvx
9.0487,cf-cvx
9.2719,cf-cvx
9.0665,cf-cvx
9.1868,cf-cvx
9.1097,cf-cvx
9.2017,cf-cvx
9.0693,cf-cvx
9.297,cf-cvx
8.2934,cf-cvx
9.2078,cf-cvx
9.1822,cf-cvx
9.1406,cf-cvx
9.1025,cf-cvx
9.083,cf-cvx
9.2085,cf-cvx
9.2678,cf-cvx
9.1619,cf-cvx
9.1724,cf-cvx
9.0134,cf-cvx
9.178,cf-cvx
8.86,cf-cvx
8.9175,cf-cvx
9.1307,cf-cvx
9.2667,cf-cvx
9.0994,cf-cvx
9.2238,cf-cvx
9.1477,cf-cvx
9.1308,cf-cvx
9.1114,cf-cvx
9.0946,cf-cvx
9.2039,cf-cvx
9.2035,cf-cvx
10.105,cf-als
9.6596,cf-als
9.7322,cf-als
9.9655,cf-als
10.1539,cf-als
9.9754,cf-als
10.0059,cf-als
10.2456,cf-als
9.7805,cf-als
9.8889,cf-als
9.8327,cf-als
9.9553,cf-als
9.7978,cf-als
9.7416,cf-als
9.549,cf-als
9.8067,cf-als
9.6388,cf-als
9.8764,cf-als
9.8419,cf-als
10.1104,cf-als
9.9031,cf-als
10.0002,cf-als
10.0612,cf-als
10.0019,cf-als
9.0024,cf-als
10.0438,cf-als
9.7533,cf-als
9.998,cf-als
9.9177,cf-als
9.8633,cf-als
9.937,cf-als
9.965,cf-als
9.5799,cf-als
9.5889,cf-als
10.0536,cf-als
10.0748,cf-als
10.1645,cf-als
9.9784,cf-als
9.6782,cf-als
9.776,cf-als
9.4878,cf-als
9.1036,cf-als
9.962,cf-als
10.0168,cf-als
9.5486,cf-als
10.2509,cf-als
9.9227,cf-als
10.1129,cf-als
10.0246,cf-als
9.7907,cf-als
8.7307,cf-als
9.898,cf-als
9.8812,cf-als
9.4072,cf-als
9.7188,cf-als
10.0249,cf-als
7.8006,cf-als
10.0995,cf-als
9.9459,cf-als
9.5511,cf-als
9.9044,cf-als
9.936,cf-als
9.9645,cf-als
9.9295,cf-als
9.8437,cf-als
10.0238,cf-als
9.9829,cf-als
9.951,cf-als
9.9779,cf-als
9.9569,cf-als
9.9273,cf-als
10.1623,cf-als
10.0131,cf-als
10.1057,cf-als
9.9992,cf-als
10.0778,cf-als
9.4341,cf-als
9.8342,cf-als
9.9668,cf-als
9.9566,cf-als
10.0531,cf-als
10.0919,cf-als
9.9512,cf-als
9.5693,cf-als
10.058,cf-als
9.982,cf-als
9.3296,cf-als
9.9715,cf-als
9.5399,cf-als
10.0385,cf-als
9.8358,cf-als
10.0847,cf-als
9.8773,cf-als
9.9985,cf-als
9.922,cf-als
10.0249,cf-als
9.6782,cf-als
9.879,cf-als
9.8226,cf-als
10.0363,cf-als
16.9947,cvx
15.4528,cvx
16.8547,cvx
19.8105,cvx
19.6497,cvx
17.3753,cvx
21.1018,cvx
19.0035,cvx
16.9621,cvx
19.9162,cvx
16.5003,cvx
18.5233,cvx
16.1597,cvx
17.2609,cvx
20.1793,cvx
24.1864,cvx
18.5456,cvx
17.7089,cvx
19.8943,cvx
20.1964,cvx
23.1005,cvx
23.4748,cvx
17.5147,cvx
19.1782,cvx
14.1837,cvx
17.7617,cvx
17.2994,cvx
17.4257,cvx
18.228,cvx
18.6036,cvx
18.8317,cvx
19.6364,cvx
18.0538,cvx
17.4181,cvx
21.2379,cvx
21.8166,cvx
21.5743,cvx
17.5919,cvx
16.9505,cvx
20.3092,cvx
16.092,cvx
16.394,cvx
15.852,cvx
32.4046,cvx
16.1532,cvx
23.0439,cvx
27.3721,cvx
21.7656,cvx
19.1478,cvx
17.7149,cvx
16.2298,cvx
19.5139,cvx
20.4895,cvx
17.4352,cvx
15.666,cvx
17.9231,cvx
13.5408,cvx
18.1042,cvx
20.3842,cvx
17.5284,cvx
17.1737,cvx
