length,approach
13.8379,cf-als
13.7815,cf-als
12.7913,cf-als
14.4865,cf-als
15.1568,cf-als
12.1552,cf-als
14.5929,cf-als
14.2833,cf-als
14.6351,cf-als
12.5914,cf-als
16.0518,cf-als
14.4639,cf-als
15.3675,cf-als
13.6337,cf-als
15.0812,cf-als
13.8699,cf-als
16.7432,cf-als
14.3308,cf-als
13.9949,cf-als
14.9799,cf-als
13.5813,cf-als
14.1682,cf-als
14.9222,cf-als
14.9783,cf-als
14.5865,cf-als
14.7102,cf-als
14.3429,cf-als
13.2832,cf-als
13.7276,cf-als
11.9429,cf-als
15.443,cf-als
14.072,cf-als
14.8812,cf-als
14.3653,cf-als
12.8638,cf-als
14.0356,cf-als
12.9373,cf-als
14.1035,cf-als
15.2028,cf-als
10.8295,cf-als
15.6152,cf-als
14.3905,cf-als
10.6956,cf-als
15.3924,cf-als
15.1038,cf-als
11.1625,cf-als
13.2445,cf-als
14.3232,cf-als
13.4036,cf-als
15.0418,cf-als
13.4134,cf-als
13.5881,cf-als
12.4164,cf-als
14.9584,cf-als
16.0316,cf-als
14.8299,cf-als
15.046,cf-als
14.1143,cf-als
14.4026,cf-als
15.65,cf-als
12.9036,cf-als
15.5751,cf-als
14.4028,cf-als
15.0718,cf-als
14.4108,cf-als
13.568,cf-als
12.7772,cf-als
14.6906,cf-als
11.8198,cf-als
14.5316,cf-als
14.9864,cf-als
14.8618,cf-als
13.218,cf-als
13.0356,cf-als
12.4178,cf-als
14.3778,cf-als
14.2158,cf-als
13.6552,cf-als
14.8669,cf-als
11.8137,cf-als
16.4676,cf-als
14.6011,cf-als
15.1367,cf-als
15.4654,cf-als
13.4251,cf-als
10.5691,cf-als
14.5793,cf-als
15.4667,cf-als
14.6574,cf-als
14.8919,cf-als
15.1321,cf-als
14.2506,cf-als
15.0376,cf-als
14.0854,cf-als
12.8063,cf-als
13.1282,cf-als
14.1983,cf-als
14.425,cf-als
15.9865,cf-als
13.607,cf-als
30.0165,als
29.0474,als
32.1972,als
22.08,als
26.1948,als
25.7722,als
23.1532,als
29.0296,als
24.7593,als
231.9995,als
26.4294,als
25.9714,als
22.0989,als
29.513,als
25.6232,als
24.6138,als
25.5976,als
25.4464,als
30.2978,als
24.0141,als
35.5838,als
28.3842,als
24.7105,als
27.1581,als
114.6566,als
24.4614,als
26.472,als
25.044,als
25.9053,als
34.9062,als
23.4643,als
27.1578,als
27.5665,als
25.6156,als
30.6694,als
27.255,als
26.4088,als
23.0292,als
24.7059,als
132.4034,als
27.3268,als
27.0091,als
428.1662,als
26.8539,als
21.4766,als
87.1332,als
30.6115,als
24.0198,als
31.5578,als
23.3271,als
33.6927,als
25.9851,als
33.5139,als
26.4,als
38.2198,als
29.0178,als
25.1862,als
28.7756,als
24.9367,als
22.3558,als
29.2534,als
23.3738,als
25.092,als
23.8873,als
32.0059,als
23.3781,als
83.5155,als
26.6032,als
43.9682,als
24.9458,als
24.0863,als
22.6715,als
26.7569,als
27.0472,als
86.6496,als
28.6884,als
27.1033,als
33.5019,als
28.2601,als
87.1411,als
27.4567,als
28.3213,als
25.7632,als
29.1424,als
22.1127,als
177.1487,als
25.3783,als
27.4082,als
22.5648,als
27.2552,als
24.1528,als
25.2638,als
32.0343,als
25.9078,als
30.0666,als
28.2913,als
24.7827,als
32.8077,als
27.2811,als
25.5195,als
