length,approach
9.5864,cf-cvx
9.5128,cf-cvx
9.5236,cf-cvx
9.696,cf-cvx
9.5503,cf-cvx
9.8837,cf-cvx
9.463,cf-cvx
9.6827,cf-cvx
9.6566,cf-cvx
9.4953,cf-cvx
9.5959,cf-cvx
9.6269,cf-cvx
9.4587,cf-cvx
9.5826,cf-cvx
9.5201,cf-cvx
9.7131,cf-cvx
9.5594,cf-cvx
9.6148,cf-cvx
9.6844,cf-cvx
9.4813,cf-cvx
9.6501,cf-cvx
9.5807,cf-cvx
9.5692,cf-cvx
9.5693,cf-cvx
9.5502,cf-cvx
9.5903,cf-cvx
9.8302,cf-cvx
9.7592,cf-cvx
9.5927,cf-cvx
9.6241,cf-cvx
9.5937,cf-cvx
9.5899,cf-cvx
9.6799,cf-cvx
9.6342,cf-cvx
9.5807,cf-cvx
9.7109,cf-cvx
9.6505,cf-cvx
9.4368,cf-cvx
9.5324,cf-cvx
9.6043,cf-cvx
9.693,cf-cvx
9.546,cf-cvx
9.5678,cf-cvx
9.5353,cf-cvx
9.7067,cf-cvx
9.6207,cf-cvx
9.5733,cf-cvx
9.5887,cf-cvx
9.4937,cf-cvx
9.6282,cf-cvx
9.5508,cf-cvx
9.5756,cf-cvx
9.5223,cf-cvx
9.6577,cf-cvx
9.5127,cf-cvx
9.6234,cf-cvx
9.5172,cf-cvx
10.0163,cf-cvx
9.647,cf-cvx
9.4952,cf-cvx
9.6968,cf-cvx
9.4891,cf-cvx
9.6541,cf-cvx
9.6296,cf-cvx
9.5761,cf-cvx
9.5422,cf-cvx
9.5338,cf-cvx
9.7594,cf-cvx
9.7186,cf-cvx
9.6266,cf-cvx
9.5663,cf-cvx
9.4787,cf-cvx
9.6322,cf-cvx
9.6331,cf-cvx
9.722,cf-cvx
9.6454,cf-cvx
9.5782,cf-cvx
9.5664,cf-cvx
9.5973,cf-cvx
9.6183,cf-cvx
9.618,cf-cvx
9.5932,cf-cvx
9.5765,cf-cvx
9.7632,cf-cvx
9.6146,cf-cvx
9.6797,cf-cvx
9.5394,cf-cvx
9.6179,cf-cvx
9.5548,cf-cvx
9.6482,cf-cvx
9.6811,cf-cvx
9.5452,cf-cvx
9.715,cf-cvx
9.5223,cf-cvx
9.8479,cf-cvx
9.5446,cf-cvx
9.6585,cf-cvx
9.4926,cf-cvx
9.6045,cf-cvx
10.5241,cf-cvx
9.8627,cf-als
9.9267,cf-als
9.908,cf-als
9.947,cf-als
9.8638,cf-als
10.0713,cf-als
9.7611,cf-als
9.9798,cf-als
10.0335,cf-als
9.8869,cf-als
10.0151,cf-als
9.9801,cf-als
9.8301,cf-als
10.0707,cf-als
9.9069,cf-als
10.2319,cf-als
10.0108,cf-als
10.0716,cf-als
9.9976,cf-als
9.8765,cf-als
9.8903,cf-als
9.8878,cf-als
9.8465,cf-als
10.0771,cf-als
9.8722,cf-als
9.8664,cf-als
9.8783,cf-als
10.0977,cf-als
9.7873,cf-als
9.8761,cf-als
9.8703,cf-als
10.0625,cf-als
9.8904,cf-als
9.9023,cf-als
9.843,cf-als
10.0647,cf-als
9.904,cf-als
9.8466,cf-als
9.8333,cf-als
10.0193,cf-als
9.9197,cf-als
9.9591,cf-als
9.9203,cf-als
9.9667,cf-als
9.8815,cf-als
9.9155,cf-als
9.8619,cf-als
9.9678,cf-als
9.7717,cf-als
9.8118,cf-als
10.0095,cf-als
9.9531,cf-als
10.0962,cf-als
9.819,cf-als
9.9259,cf-als
9.8734,cf-als
9.8686,cf-als
9.7726,cf-als
9.8491,cf-als
9.8863,cf-als
9.9296,cf-als
9.8409,cf-als
9.8924,cf-als
9.969,cf-als
9.9529,cf-als
9.7651,cf-als
9.7708,cf-als
10.0926,cf-als
9.9756,cf-als
10.041,cf-als
9.978,cf-als
9.882,cf-als
9.9756,cf-als
10.0325,cf-als
10.0118,cf-als
9.8698,cf-als
9.7647,cf-als
10.0013,cf-als
10.0632,cf-als
10.0258,cf-als
10.0911,cf-als
9.9529,cf-als
10.0631,cf-als
9.9788,cf-als
10.0394,cf-als
10.0143,cf-als
10.0087,cf-als
9.9501,cf-als
9.821,cf-als
9.9422,cf-als
9.9213,cf-als
10.0739,cf-als
9.8836,cf-als
9.8467,cf-als
9.9957,cf-als
9.6657,cf-als
10.0695,cf-als
9.7361,cf-als
9.9404,cf-als
9.9348,cf-als
87.7052,cvx
103.0911,cvx
91.8965,cvx
162.8219,cvx
104.7288,cvx
655.5163,cvx
107.2693,cvx
78.4377,cvx
123.1366,cvx
74.0982,cvx
61.5052,cvx
64.2039,cvx
131.9718,cvx
88.2715,cvx
101.7744,cvx
130.8526,cvx
134.9167,cvx
109.4451,cvx
105.1584,cvx
114.6829,cvx
169.9777,cvx
82.8478,cvx
121.4125,cvx
56.3882,cvx
73.6193,cvx
124.1982,cvx
336.7166,cvx
53.4827,cvx
107.4882,cvx
100.6304,cvx
99.3102,cvx
82.8267,cvx
125.4641,cvx
136.7588,cvx
82.6387,cvx
128.0267,cvx
68.6201,cvx
99.2526,cvx
105.0723,cvx
57.0381,cvx
64.9237,cvx
84.3386,cvx
158.1634,cvx
81.2427,cvx
146.6713,cvx
123.688,cvx
133.1461,cvx
162.0161,cvx
66.5676,cvx
145.7997,cvx
76.8822,cvx
117.4065,cvx
84.1836,cvx
89.7806,cvx
88.4507,cvx
71.8893,cvx
188.0047,cvx
539.721,cvx
118.855,cvx
140.6835,cvx
88.3342,cvx
92.812,cvx
93.3349,cvx
101.4671,cvx
73.2265,cvx
92.5442,cvx
104.676,cvx
269.0268,cvx
87.9136,cvx
60.6235,cvx
73.9355,cvx
86.8237,cvx
91.4261,cvx
88.1495,cvx
122.3033,cvx
129.9627,cvx
153.0342,cvx
94.012,cvx
62.5538,cvx
63.4227,cvx
84.7472,cvx
123.5692,cvx
89.7736,cvx
57.2425,cvx
80.1665,cvx
177.3151,cvx
118.4037,cvx
52.6511,cvx
94.9994,cvx
81.1671,cvx
233.8269,cvx
145.6437,cvx
175.0178,cvx
210.2543,cvx
144.4193,cvx
183.6288,cvx
76.927,cvx
127.2299,cvx
76.2258,cvx
4259.5373,cvx
70.7549,als
86.5267,als
75.4958,als
142.9306,als
82.5319,als
136.3931,als
101.759,als
67.4528,als
109.6651,als
68.7559,als
48.9958,als
57.5975,als
130.4345,als
86.0873,als
83.6858,als
112.4768,als
85.4316,als
64.0398,als
79.1312,als
98.944,als
161.6936,als
76.5633,als
102.6743,als
52.3823,als
56.8097,als
87.8491,als
75.4771,als
47.796,als
62.9636,als
91.1206,als
98.0802,als
71.477,als
108.115,als
207.0441,als
75.039,als
127.8258,als
56.6961,als
84.9457,als
90.2371,als
46.4537,als
58.6832,als
75.7014,als
120.1396,als
67.7186,als
122.9207,als
107.1863,als
86.0551,als
134.9537,als
56.8242,als
133.3925,als
62.1772,als
119.0323,als
73.414,als
81.1762,als
79.4297,als
51.819,als
106.5974,als
108.2031,als
104.081,als
116.064,als
82.1198,als
92.379,als
67.0635,als
72.9256,als
63.4689,als
70.7493,als
85.1007,als
119.9274,als
66.6138,als
59.3344,als
68.2584,als
78.1344,als
79.0067,als
79.6414,als
111.6126,als
107.4249,als
137.3352,als
83.7328,als
54.9928,als
52.1757,als
67.5921,als
107.7949,als
71.0306,als
51.9488,als
71.3043,als
140.1664,als
79.353,als
48.3951,als
79.2502,als
76.1583,als
180.0845,als
132.2518,als
99.2198,als
203.9781,als
94.9484,als
103.4154,als
66.9606,als
201.4301,als
61.3221,als
4444.4589,als
