coverage,approach
0.9012581610289738,cf-als
0.9003166596093304,cf-als
0.9004772020139816,cf-als
0.8994136801816532,cf-als
0.8987258175503738,cf-als
0.9013194176363536,cf-als
0.9002054028279568,cf-als
0.8986316036153602,cf-als
0.9008799570954741,cf-als
0.901835193176416,cf-als
0.8999616676401869,cf-als
0.9010195305459929,cf-als
0.8985345281539378,cf-als
0.8997840858868592,cf-als
0.899534283147575,cf-als
0.9011365255316117,cf-als
0.899600037719272,cf-als
0.8998988136935749,cf-als
0.9000981228277715,cf-als
0.898889001436517,cf-als
0.8993603313391625,cf-als
0.8994154861779673,cf-als
0.9012673231846405,cf-als
0.8981864606821554,cf-als
0.8997745571658615,cf-als
0.8983603260149111,cf-als
0.8998921965470715,cf-als
0.9006229666583482,cf-als
0.8989336326321782,cf-als
0.8992778787112204,cf-als
0.8993211062163934,cf-als
0.900066925136158,cf-als
0.9003155974724739,cf-als
0.9006680455397457,cf-als
0.8990450424336119,cf-als
0.9014185344113151,cf-als
0.9003263126668645,cf-als
0.8983584516075924,cf-als
0.8987761703574538,cf-als
0.9015859337377852,cf-als
0.8974889298511813,cf-als
0.8987057446690871,cf-als
0.8983346510259617,cf-als
0.8986363081515193,cf-als
0.9004490880341252,cf-als
0.8999841310362433,cf-als
0.8995964505995918,cf-als
0.8968405121056966,cf-als
0.9000756045491418,cf-als
0.9007668507169686,cf-als
0.8994093068170557,cf-als
0.8996855288249963,cf-als
0.9016533453654764,cf-als
0.9015389436381189,cf-als
0.900662877042988,cf-als
0.8998362701656762,cf-als
0.9015904618483171,cf-als
0.902146071705404,cf-als
0.9009478672985782,cf-als
0.9009397204815721,cf-als
0.9010468898771443,cf-als
0.8997046958873612,cf-als
0.9009106638320586,cf-als
0.9007641853489289,cf-als
0.8971836973882269,cf-als
0.8994145109885926,cf-als
0.9007299911236039,cf-als
0.9011487506095011,cf-als
0.9014642177196097,cf-als
0.9005545226888937,cf-als
0.9004783262024111,cf-als
0.9008067821917086,cf-als
0.8999864030549339,cf-als
0.9001900003680394,cf-als
0.9004054528326283,cf-als
0.8991645098934762,cf-als
0.8992240019918666,cf-als
0.8992437814611322,cf-als
0.9007507135449648,cf-als
0.90082903319355,cf-als
0.8980451584270206,cf-als
0.8984129617723579,cf-als
0.899897518567563,cf-als
0.9009170548227773,cf-als
0.8989598571303317,cf-als
0.9002068145271677,cf-als
0.9018236362926363,cf-als
0.8989766169406281,cf-als
0.8998783387712216,cf-als
0.8999269388291313,cf-als
0.9012813882663908,cf-als
0.8979808420563136,cf-als
0.9018752846682588,cf-als
0.9006044851275457,cf-als
0.9011336114410955,cf-als
0.9006376183283561,cf-als
0.9008062037715271,cf-als
0.900299503738625,cf-als
0.9015255791295076,cf-als
0.9011775667310876,cf-als
0.8827686441710878,als
0.8799455050904873,als
0.8830774340416404,als
0.8823261190970767,als
0.8833354115576985,als
0.8820520597805107,als
0.8819919489427256,als
0.8844881379608229,als
0.8810228033872479,als
0.8829596422854596,als
0.8813020224883178,als
0.882287453318094,als
0.8825024087270653,als
0.8824787308485563,als
0.8848482342048005,als
0.8845068545403575,als
0.880163112851922,als
0.880625340530839,als
0.8815075151081644,als
0.8799679546207964,als
0.8833571099861942,als
0.8831499564479898,als
0.8822953779572598,als
0.8792290276508489,als
0.881762134805613,als
0.880180834967522,als
0.8842089777980053,als
0.8814852294399252,als
0.8845778895283047,als
0.8812455442356784,als
0.8794906233812669,als
0.8808501800055386,als
0.8817916965137808,als
0.8834636799290865,als
0.8816183896622565,als
0.8838813790309213,als
0.8822468892215638,als
0.878485632164196,als
0.8801395905558121,als
0.8836229242655005,als
0.8807775387885619,als
0.8803216977828563,als
0.8821408215047437,als
0.8826133319821552,als
0.883393395601971,als
0.8842968554153414,als
0.8798041868250293,als
0.8817170169797173,als
0.8809883284041006,als
0.8804370313498504,als
0.8815179639407509,als
0.8817019950124688,als
0.881029116558316,als
0.8826402825812962,als
0.8837500690976765,als
0.8815878359037772,als
0.8837918864734523,als
0.8807640246653632,als
0.8828233561864446,als
0.8795654599696596,als
0.8830577207263908,als
0.8819036535834373,als
0.885653938540545,als
0.8823725916181515,als
0.879686081650944,als
0.8824037127896002,als
0.8831551889932687,als
0.8826199186099447,als
0.8817428053749299,als
0.8846422326507198,als
0.8796728569953773,als
0.8834871860637136,als
0.8831469322756907,als
0.8817213205255603,als
0.8834946524558066,als
0.8821525288453997,als
0.8819081343772189,als
0.8845039676143194,als
0.8801359176968329,als
0.8830561450186659,als
0.8837626963522348,als
0.8798510437766301,als
0.8828879037365421,als
0.883963409996566,als
0.8848413251438618,als
0.8816510194644908,als
0.8806079859603665,als
0.8798975695803761,als
0.8812973511032461,als
0.8807673958186885,als
0.880815951272769,als
0.8822645140645826,als
0.8828334346771601,als
0.885389804181848,als
0.8823360131134256,als
0.882260835476023,als
0.8849640339303416,als
0.8818971481635571,als
0.8803917468444019,als
0.8824301324243669,als
