length,approach
2.5357,cf-cvx
2.4754,cf-cvx
2.506,cf-cvx
2.4951,cf-cvx
2.4913,cf-cvx
2.511,cf-cvx
2.4907,cf-cvx
2.4603,cf-cvx
2.4636,cf-cvx
2.4452,cf-cvx
2.4648,cf-cvx
2.4722,cf-cvx
2.4788,cf-cvx
2.473,cf-cvx
2.5097,cf-cvx
2.4445,cf-cvx
2.5094,cf-cvx
2.4221,cf-cvx
2.5299,cf-cvx
2.4718,cf-cvx
2.462,cf-cvx
2.4867,cf-cvx
2.4857,cf-cvx
2.4454,cf-cvx
2.5413,cf-cvx
2.4286,cf-cvx
2.5207,cf-cvx
2.4284,cf-cvx
2.4837,cf-cvx
2.485,cf-cvx
2.4915,cf-cvx
2.5137,cf-cvx
2.4981,cf-cvx
2.4517,cf-cvx
2.4712,cf-cvx
2.4544,cf-cvx
2.4244,cf-cvx
2.4759,cf-cvx
2.5072,cf-cvx
2.458,cf-cvx
2.4597,cf-cvx
2.4886,cf-cvx
2.4284,cf-cvx
2.4503,cf-cvx
2.4909,cf-cvx
2.5035,cf-cvx
2.4894,cf-cvx
2.4573,cf-cvx
2.4432,cf-cvx
2.4738,cf-cvx
2.5055,cf-cvx
2.4462,cf-cvx
2.4736,cf-cvx
2.4876,cf-cvx
2.4834,cf-cvx
2.4681,cf-cvx
2.4446,cf-cvx
2.4893,cf-cvx
2.4622,cf-cvx
2.4993,cf-cvx
2.4903,cf-cvx
2.4493,cf-cvx
2.4608,cf-cvx
2.453,cf-cvx
2.4698,cf-cvx
2.4934,cf-cvx
2.4408,cf-cvx
2.4492,cf-cvx
2.4077,cf-cvx
2.5214,cf-cvx
2.5071,cf-cvx
2.4478,cf-cvx
2.4591,cf-cvx
2.4516,cf-cvx
2.4698,cf-cvx
2.4759,cf-cvx
2.4766,cf-cvx
2.4724,cf-cvx
2.4801,cf-cvx
2.4726,cf-cvx
2.5024,cf-cvx
2.514,cf-cvx
2.4605,cf-cvx
2.4397,cf-cvx
2.4716,cf-cvx
2.4729,cf-cvx
2.4962,cf-cvx
2.546,cf-cvx
2.481,cf-cvx
2.4681,cf-cvx
2.5603,cf-cvx
2.483,cf-cvx
2.5154,cf-cvx
2.4976,cf-cvx
2.4611,cf-cvx
2.4605,cf-cvx
2.5097,cf-cvx
2.5341,cf-cvx
2.4466,cf-cvx
2.4345,cf-cvx
1.7193,cf-als
1.716,cf-als
1.7114,cf-als
1.7117,cf-als
1.7219,cf-als
1.7095,cf-als
1.7059,cf-als
1.714,cf-als
1.7217,cf-als
1.7121,cf-als
1.7157,cf-als
1.7096,cf-als
1.7083,cf-als
1.7059,cf-als
1.7118,cf-als
1.7119,cf-als
1.7167,cf-als
1.7124,cf-als
1.7021,cf-als
1.7033,cf-als
1.72,cf-als
1.7128,cf-als
1.7144,cf-als
1.6969,cf-als
1.7148,cf-als
1.7233,cf-als
1.7104,cf-als
1.7285,cf-als
1.7063,cf-als
1.704,cf-als
1.7237,cf-als
1.7069,cf-als
1.7055,cf-als
1.7195,cf-als
1.7097,cf-als
1.7165,cf-als
1.725,cf-als
1.7175,cf-als
1.7093,cf-als
1.6987,cf-als
1.7349,cf-als
1.7136,cf-als
1.7233,cf-als
1.7067,cf-als
1.7169,cf-als
1.7079,cf-als
1.7075,cf-als
1.7059,cf-als
1.7107,cf-als
1.7062,cf-als
1.7021,cf-als
1.7045,cf-als
1.7061,cf-als
1.7144,cf-als
1.7086,cf-als
1.7054,cf-als
1.7113,cf-als
1.7031,cf-als
1.7088,cf-als
1.7165,cf-als
1.7086,cf-als
1.7006,cf-als
1.7045,cf-als
1.716,cf-als
1.7098,cf-als
1.7158,cf-als
1.7187,cf-als
1.7088,cf-als
1.7154,cf-als
1.7238,cf-als
1.7092,cf-als
1.7049,cf-als
1.7085,cf-als
1.713,cf-als
1.7368,cf-als
1.7093,cf-als
1.7049,cf-als
1.7093,cf-als
1.7131,cf-als
1.7104,cf-als
1.7189,cf-als
1.7184,cf-als
1.7035,cf-als
1.7209,cf-als
1.713,cf-als
1.7052,cf-als
1.7189,cf-als
1.7158,cf-als
1.7164,cf-als
1.7126,cf-als
1.7281,cf-als
1.7089,cf-als
1.7136,cf-als
1.7074,cf-als
1.6969,cf-als
1.7138,cf-als
1.705,cf-als
1.6946,cf-als
1.7223,cf-als
1.7224,cf-als
2.4485,cvx
2.4476,cvx
2.4365,cvx
2.4342,cvx
2.436,cvx
2.447,cvx
2.3815,cvx
2.3804,cvx
2.4546,cvx
2.3849,cvx
2.3753,cvx
2.4439,cvx
2.381,cvx
2.3795,cvx
2.4451,cvx
2.3787,cvx
2.3843,cvx
2.3982,cvx
2.3891,cvx
2.3831,cvx
2.3935,cvx
2.4302,cvx
2.4401,cvx
2.3834,cvx
2.4527,cvx
