length,approach
2.2018,cf-als
2.1992,cf-als
2.2011,cf-als
2.201,cf-als
2.2137,cf-als
2.2016,cf-als
2.1972,cf-als
2.205,cf-als
2.2112,cf-als
2.2085,cf-als
2.2115,cf-als
2.2003,cf-als
2.2056,cf-als
2.2058,cf-als
2.2059,cf-als
2.1999,cf-als
2.2186,cf-als
2.2082,cf-als
2.1864,cf-als
2.201,cf-als
2.2089,cf-als
2.2032,cf-als
2.2163,cf-als
2.2027,cf-als
2.2072,cf-als
2.2143,cf-als
2.2109,cf-als
2.1947,cf-als
2.2004,cf-als
2.204,cf-als
2.202,cf-als
2.1985,cf-als
2.2044,cf-als
2.1933,cf-als
2.2175,cf-als
2.2004,cf-als
2.2138,cf-als
2.2103,cf-als
2.2211,cf-als
2.2129,cf-als
2.2135,cf-als
2.2111,cf-als
2.1961,cf-als
2.1892,cf-als
2.2043,cf-als
2.199,cf-als
2.2105,cf-als
2.218,cf-als
2.207,cf-als
2.2009,cf-als
2.2132,cf-als
2.2062,cf-als
2.2049,cf-als
2.1993,cf-als
2.2152,cf-als
2.2121,cf-als
2.2064,cf-als
2.1998,cf-als
2.1977,cf-als
2.2136,cf-als
2.203,cf-als
2.2133,cf-als
2.2099,cf-als
2.2072,cf-als
2.1964,cf-als
2.2058,cf-als
2.197,cf-als
2.2015,cf-als
2.2104,cf-als
2.2157,cf-als
2.2042,cf-als
2.2092,cf-als
2.2137,cf-als
2.2154,cf-als
2.2042,cf-als
2.2077,cf-als
2.2146,cf-als
2.2112,cf-als
2.2064,cf-als
2.1905,cf-als
2.1965,cf-als
2.2042,cf-als
2.2084,cf-als
2.2109,cf-als
2.2017,cf-als
2.2106,cf-als
2.198,cf-als
2.1939,cf-als
2.2142,cf-als
2.2031,cf-als
2.1942,cf-als
2.2046,cf-als
2.2043,cf-als
2.2013,cf-als
2.2093,cf-als
2.2153,cf-als
2.2115,cf-als
2.2037,cf-als
2.2106,cf-als
2.204,cf-als
2.5044,als
2.5016,als
2.5053,als
2.5067,als
2.4979,als
2.5051,als
2.5019,als
2.6714,als
2.4953,als
2.6667,als
2.4992,als
2.5059,als
2.505,als
2.4841,als
2.5067,als
2.4938,als
2.505,als
2.5013,als
2.5034,als
2.4959,als
2.6715,als
2.4979,als
2.4962,als
2.5011,als
2.5021,als
2.666,als
2.8665,als
2.4886,als
2.5049,als
2.5024,als
2.4986,als
2.5043,als
2.4994,als
2.5052,als
2.5024,als
2.504,als
2.5015,als
2.664,als
2.5043,als
2.5031,als
2.4998,als
2.5073,als
2.4949,als
2.4955,als
2.4999,als
2.6723,als
2.507,als
2.5019,als
2.4993,als
2.493,als
2.5081,als
2.6623,als
2.6624,als
2.4992,als
2.5023,als
2.4976,als
2.4945,als
2.6707,als
2.5007,als
2.5063,als
2.499,als
2.6683,als
2.6668,als
2.5029,als
2.4964,als
2.504,als
2.4995,als
2.509,als
2.5091,als
2.5032,als
2.4996,als
2.4948,als
2.4912,als
2.5021,als
2.5014,als
2.6696,als
2.4999,als
2.5091,als
2.4949,als
2.5007,als
2.5036,als
2.5059,als
2.4986,als
2.4931,als
2.8631,als
2.5018,als
2.868,als
2.4979,als
2.5024,als
2.4946,als
2.4983,als
2.672,als
2.5034,als
2.4924,als
2.8652,als
2.4991,als
2.5059,als
2.5033,als
2.4955,als
2.4966,als
