length,approach
1.9613,cf-als
1.9616,cf-als
1.9683,cf-als
1.9451,cf-als
1.9499,cf-als
1.9589,cf-als
1.9218,cf-als
1.9536,cf-als
1.9578,cf-als
1.9421,cf-als
1.949,cf-als
1.9795,cf-als
1.953,cf-als
1.9311,cf-als
1.9589,cf-als
1.9428,cf-als
1.9457,cf-als
1.9503,cf-als
1.9433,cf-als
1.9406,cf-als
1.9708,cf-als
1.935,cf-als
1.9566,cf-als
1.9485,cf-als
1.9554,cf-als
1.9786,cf-als
1.9507,cf-als
1.9555,cf-als
1.956,cf-als
1.9467,cf-als
1.9564,cf-als
1.9526,cf-als
1.9504,cf-als
1.9669,cf-als
1.9504,cf-als
1.9521,cf-als
1.9655,cf-als
1.9544,cf-als
1.9609,cf-als
1.9462,cf-als
1.9694,cf-als
1.9468,cf-als
1.9536,cf-als
1.9382,cf-als
1.9646,cf-als
1.94,cf-als
1.9525,cf-als
1.9421,cf-als
1.9586,cf-als
1.9475,cf-als
1.9393,cf-als
1.9579,cf-als
1.9485,cf-als
1.9459,cf-als
1.9459,cf-als
1.936,cf-als
1.9567,cf-als
1.9639,cf-als
1.9468,cf-als
1.9571,cf-als
1.9548,cf-als
1.9539,cf-als
1.9446,cf-als
1.9521,cf-als
1.9594,cf-als
1.9596,cf-als
1.9504,cf-als
1.9721,cf-als
1.9755,cf-als
1.9491,cf-als
1.9394,cf-als
1.9587,cf-als
1.9398,cf-als
1.9417,cf-als
1.944,cf-als
1.9643,cf-als
1.9587,cf-als
1.9456,cf-als
1.9571,cf-als
1.9677,cf-als
1.9572,cf-als
1.9634,cf-als
1.9565,cf-als
1.9569,cf-als
1.9637,cf-als
1.9658,cf-als
1.949,cf-als
1.9589,cf-als
1.953,cf-als
1.9564,cf-als
1.9505,cf-als
1.9551,cf-als
1.9659,cf-als
1.9678,cf-als
1.959,cf-als
1.9428,cf-als
1.9437,cf-als
1.9628,cf-als
1.9596,cf-als
1.9413,cf-als
2.1331,als
2.1264,als
2.143,als
2.12,als
2.1215,als
2.1431,als
2.1377,als
2.1328,als
2.144,als
2.1382,als
2.1309,als
2.1489,als
2.15,als
2.1216,als
2.1245,als
2.1459,als
2.1593,als
2.1373,als
2.153,als
2.1454,als
2.1465,als
2.1445,als
2.1312,als
2.1433,als
2.1559,als
2.1513,als
2.1403,als
2.1206,als
2.1477,als
2.1304,als
2.1264,als
2.1344,als
2.1389,als
2.1459,als
2.1309,als
2.1434,als
2.1489,als
2.1289,als
2.1462,als
2.1321,als
2.1519,als
2.1408,als
2.1274,als
2.1499,als
2.1474,als
2.1409,als
2.1485,als
2.1177,als
2.1267,als
2.1423,als
2.1169,als
2.1269,als
2.1407,als
2.1348,als
2.1429,als
2.1343,als
2.1573,als
2.1415,als
2.1442,als
2.1377,als
2.1406,als
2.1343,als
2.146,als
2.1444,als
2.1298,als
2.1535,als
2.1328,als
2.151,als
2.1401,als
2.1263,als
2.1272,als
2.152,als
2.1178,als
2.1317,als
2.1411,als
2.1508,als
2.1421,als
2.1213,als
2.14,als
2.1502,als
2.1462,als
2.1329,als
2.1463,als
2.1446,als
2.1364,als
2.1387,als
2.1556,als
2.1395,als
2.1452,als
2.1445,als
2.1394,als
2.1322,als
2.1496,als
2.1607,als
2.1466,als
2.1484,als
2.1446,als
2.1375,als
2.1326,als
2.129,als
