length,approach
2.2488,cf-cvx
2.2432,cf-cvx
2.265,cf-cvx
2.2466,cf-cvx
2.2386,cf-cvx
2.2531,cf-cvx
2.2343,cf-cvx
2.238,cf-cvx
2.2633,cf-cvx
2.2565,cf-cvx
2.2539,cf-cvx
2.2386,cf-cvx
2.2521,cf-cvx
2.2535,cf-cvx
2.2667,cf-cvx
2.223,cf-cvx
2.2809,cf-cvx
2.24,cf-cvx
2.2618,cf-cvx
2.2456,cf-cvx
2.2566,cf-cvx
2.2519,cf-cvx
2.254,cf-cvx
2.245,cf-cvx
2.2449,cf-cvx
2.2375,cf-cvx
2.2334,cf-cvx
2.2447,cf-cvx
2.2618,cf-cvx
2.2521,cf-cvx
2.2474,cf-cvx
2.2529,cf-cvx
2.261,cf-cvx
2.2563,cf-cvx
2.2345,cf-cvx
2.2496,cf-cvx
2.2662,cf-cvx
2.2697,cf-cvx
2.2474,cf-cvx
2.258,cf-cvx
2.2468,cf-cvx
2.2483,cf-cvx
2.2492,cf-cvx
2.2494,cf-cvx
2.2635,cf-cvx
2.2626,cf-cvx
2.2525,cf-cvx
2.263,cf-cvx
2.25,cf-cvx
2.2499,cf-cvx
2.2321,cf-cvx
2.2517,cf-cvx
2.2544,cf-cvx
2.2653,cf-cvx
2.2709,cf-cvx
2.2653,cf-cvx
2.2298,cf-cvx
2.2535,cf-cvx
2.2482,cf-cvx
2.2391,cf-cvx
2.2448,cf-cvx
2.262,cf-cvx
2.2583,cf-cvx
2.2479,cf-cvx
2.2461,cf-cvx
2.2489,cf-cvx
2.2473,cf-cvx
2.24,cf-cvx
2.245,cf-cvx
2.2517,cf-cvx
2.2521,cf-cvx
2.2434,cf-cvx
2.2459,cf-cvx
2.2425,cf-cvx
2.2504,cf-cvx
2.2351,cf-cvx
2.2552,cf-cvx
2.2577,cf-cvx
2.2708,cf-cvx
2.2821,cf-cvx
2.2583,cf-cvx
2.2483,cf-cvx
2.251,cf-cvx
2.2569,cf-cvx
2.2401,cf-cvx
2.2582,cf-cvx
2.2512,cf-cvx
2.2561,cf-cvx
2.2455,cf-cvx
2.2426,cf-cvx
2.2475,cf-cvx
2.2369,cf-cvx
2.2559,cf-cvx
2.2367,cf-cvx
2.2817,cf-cvx
2.235,cf-cvx
2.2581,cf-cvx
2.2544,cf-cvx
2.262,cf-cvx
2.2636,cf-cvx
2.2263,cf-als
2.2258,cf-als
2.2299,cf-als
2.2337,cf-als
2.2138,cf-als
2.2465,cf-als
2.225,cf-als
2.2172,cf-als
2.2386,cf-als
2.2217,cf-als
2.2215,cf-als
2.2231,cf-als
2.2116,cf-als
2.246,cf-als
2.227,cf-als
2.2228,cf-als
2.226,cf-als
2.2134,cf-als
2.224,cf-als
2.2291,cf-als
2.2353,cf-als
2.23,cf-als
2.2295,cf-als
