length,approach
1.9884,cf-als
1.9681,cf-als
1.9641,cf-als
1.9545,cf-als
1.9971,cf-als
1.9793,cf-als
1.9546,cf-als
2.029,cf-als
1.9905,cf-als
1.9916,cf-als
1.9642,cf-als
1.9805,cf-als
1.9658,cf-als
1.9683,cf-als
1.9968,cf-als
1.9507,cf-als
1.9765,cf-als
1.9983,cf-als
1.9804,cf-als
1.9371,cf-als
1.9743,cf-als
1.9642,cf-als
1.9943,cf-als
1.9754,cf-als
1.9933,cf-als
1.9581,cf-als
1.9517,cf-als
1.9864,cf-als
1.9895,cf-als
1.9834,cf-als
1.9797,cf-als
1.9731,cf-als
1.9371,cf-als
1.9441,cf-als
1.9617,cf-als
1.9837,cf-als
1.9557,cf-als
1.9677,cf-als
1.9547,cf-als
1.9309,cf-als
2.0029,cf-als
1.9546,cf-als
2.0329,cf-als
1.9517,cf-als
1.9815,cf-als
1.9848,cf-als
1.976,cf-als
1.9631,cf-als
1.9658,cf-als
1.946,cf-als
1.9957,cf-als
1.9753,cf-als
1.9965,cf-als
2.0114,cf-als
1.9873,cf-als
1.9626,cf-als
1.9469,cf-als
1.9703,cf-als
1.958,cf-als
2.0364,cf-als
1.9908,cf-als
1.9749,cf-als
1.9848,cf-als
1.9741,cf-als
1.9271,cf-als
1.9541,cf-als
1.958,cf-als
1.9713,cf-als
2.0074,cf-als
2.0013,cf-als
1.9895,cf-als
1.9603,cf-als
1.9793,cf-als
2.0056,cf-als
1.9757,cf-als
1.9524,cf-als
1.9703,cf-als
1.9587,cf-als
1.9968,cf-als
1.9825,cf-als
1.9879,cf-als
1.9669,cf-als
1.9763,cf-als
1.9519,cf-als
1.9452,cf-als
2.0081,cf-als
2.0013,cf-als
1.9737,cf-als
1.9893,cf-als
1.9667,cf-als
1.9566,cf-als
1.9416,cf-als
1.9708,cf-als
2.0085,cf-als
1.979,cf-als
1.9931,cf-als
1.9459,cf-als
1.9398,cf-als
1.9538,cf-als
1.9374,cf-als
1.7326,als
1.711,als
1.7161,als
1.6918,als
1.7264,als
1.7117,als
1.7124,als
1.7055,als
1.7156,als
1.7121,als
1.724,als
1.7148,als
1.7273,als
1.7157,als
1.7072,als
1.7199,als
1.712,als
1.7297,als
1.685,als
1.7335,als
1.7318,als
1.7134,als
1.717,als
1.7361,als
1.7141,als
1.7243,als
1.705,als
1.7254,als
1.713,als
1.7422,als
1.7191,als
1.722,als
1.7223,als
1.7055,als
1.7303,als
1.7253,als
1.7161,als
1.7089,als
1.7101,als
1.7153,als
1.7203,als
1.7079,als
1.7361,als
1.7121,als
1.7129,als
1.729,als
1.707,als
1.7201,als
1.716,als
1.7103,als
1.725,als
1.7068,als
1.7182,als
1.7335,als
1.7158,als
1.6908,als
1.7199,als
1.7009,als
1.7106,als
1.7446,als
1.7275,als
1.7198,als
1.707,als
1.697,als
1.6927,als
1.7208,als
1.7192,als
1.7196,als
1.726,als
1.7141,als
1.7111,als
1.7141,als
1.7148,als
1.7253,als
1.7171,als
1.7223,als
1.7112,als
1.7122,als
1.7212,als
1.7291,als
1.7159,als
1.7349,als
1.7087,als
1.7172,als
1.7045,als
1.7117,als
1.7168,als
1.6973,als
1.7152,als
1.7122,als
1.7391,als
1.7167,als
1.6976,als
1.7341,als
1.7327,als
1.719,als
1.7166,als
1.7224,als
1.7288,als
1.7158,als
