length,approach
6.7034,cf-cvx
6.8641,cf-cvx
6.4098,cf-cvx
6.3655,cf-cvx
6.2923,cf-cvx
6.1748,cf-cvx
6.3781,cf-cvx
6.7065,cf-cvx
6.0328,cf-cvx
6.871,cf-cvx
7.1248,cf-cvx
6.784,cf-cvx
6.1946,cf-cvx
5.9757,cf-cvx
6.041,cf-cvx
6.6518,cf-cvx
6.6132,cf-cvx
5.7307,cf-cvx
6.3039,cf-cvx
6.0383,cf-cvx
6.8502,cf-cvx
6.0327,cf-cvx
6.7345,cf-cvx
6.9184,cf-cvx
6.7408,cf-cvx
6.7487,cf-cvx
6.1339,cf-cvx
6.4224,cf-cvx
6.0932,cf-cvx
5.8411,cf-cvx
6.9677,cf-cvx
6.7527,cf-cvx
6.157,cf-cvx
6.5454,cf-cvx
5.9117,cf-cvx
6.5728,cf-cvx
6.0732,cf-cvx
6.703,cf-cvx
6.1155,cf-cvx
6.5309,cf-cvx
7.3834,cf-cvx
5.9393,cf-cvx
7.3976,cf-cvx
6.0316,cf-cvx
6.2374,cf-cvx
6.7864,cf-cvx
6.5167,cf-cvx
6.3311,cf-cvx
6.4219,cf-cvx
6.8552,cf-cvx
6.2425,cf-cvx
6.7012,cf-cvx
6.6746,cf-cvx
6.9368,cf-cvx
6.2151,cf-cvx
6.3165,cf-cvx
5.9692,cf-cvx
6.1315,cf-cvx
6.2029,cf-cvx
6.6809,cf-cvx
6.6495,cf-cvx
6.7103,cf-cvx
6.4445,cf-cvx
6.3933,cf-cvx
5.8008,cf-cvx
5.8761,cf-cvx
6.4647,cf-cvx
6.4565,cf-cvx
6.2237,cf-cvx
6.527,cf-cvx
5.8037,cf-cvx
6.6432,cf-cvx
6.7018,cf-cvx
6.8053,cf-cvx
6.8529,cf-cvx
6.4599,cf-cvx
6.1051,cf-cvx
6.5886,cf-cvx
6.8164,cf-cvx
6.135,cf-cvx
6.9331,cf-cvx
5.7838,cf-cvx
6.9672,cf-cvx
6.5445,cf-cvx
6.5736,cf-cvx
6.5194,cf-cvx
5.9373,cf-cvx
5.7075,cf-cvx
6.6443,cf-cvx
6.7069,cf-cvx
6.4474,cf-cvx
6.3164,cf-cvx
6.214,cf-cvx
6.55,cf-cvx
6.1439,cf-cvx
6.0572,cf-cvx
6.8621,cf-cvx
5.6475,cf-cvx
6.3131,cf-cvx
6.2986,cf-cvx
1.9794,cf-als
1.9465,cf-als
1.9887,cf-als
1.9927,cf-als
1.9782,cf-als
1.9401,cf-als
2.0151,cf-als
1.9688,cf-als
1.9455,cf-als
1.9537,cf-als
1.9666,cf-als
1.9859,cf-als
1.9961,cf-als
2.0065,cf-als
1.9516,cf-als
2.006,cf-als
1.9559,cf-als
1.9845,cf-als
1.9887,cf-als
1.9592,cf-als
1.9511,cf-als
1.9758,cf-als
2.0101,cf-als
1.9759,cf-als
2.0045,cf-als
1.9685,cf-als
1.9588,cf-als
1.9376,cf-als
1.9515,cf-als
1.9419,cf-als
2.0178,cf-als
1.9613,cf-als
1.9385,cf-als
1.9607,cf-als
1.9938,cf-als
1.9831,cf-als
1.9516,cf-als
2.0062,cf-als
1.9703,cf-als
1.9999,cf-als
1.9884,cf-als
2.0108,cf-als
1.9629,cf-als
1.9443,cf-als
1.9557,cf-als
1.9649,cf-als
1.9662,cf-als
1.989,cf-als
1.9721,cf-als
2.0,cf-als
1.9403,cf-als
1.9798,cf-als
1.9829,cf-als
1.9873,cf-als
1.9458,cf-als
1.9623,cf-als
1.9499,cf-als
1.987,cf-als
2.0158,cf-als
1.9594,cf-als
1.9765,cf-als
1.9542,cf-als
1.9884,cf-als
2.0024,cf-als
1.9742,cf-als
1.9574,cf-als
1.9759,cf-als
2.0375,cf-als
1.9649,cf-als
1.9636,cf-als
1.9778,cf-als
2.0215,cf-als
2.0389,cf-als
1.9667,cf-als
1.9556,cf-als
1.9865,cf-als
1.9708,cf-als
1.9659,cf-als
1.9702,cf-als
1.9883,cf-als
1.9914,cf-als
1.9982,cf-als
1.9724,cf-als
1.9771,cf-als
1.9565,cf-als
1.9825,cf-als
1.9791,cf-als
1.9592,cf-als
1.9604,cf-als
1.983,cf-als
1.9636,cf-als
1.9482,cf-als
1.9422,cf-als
2.0085,cf-als
1.9932,cf-als
1.9626,cf-als
2.0031,cf-als
1.9679,cf-als
1.9649,cf-als
1.9567,cf-als
9.1308,cvx
8.908,cvx
9.151,cvx
8.7022,cvx
9.1253,cvx
9.4962,cvx
9.3803,cvx
8.7416,cvx
9.0429,cvx
8.9468,cvx
9.114,cvx
9.0455,cvx
8.9694,cvx
8.9879,cvx
9.2279,cvx
9.2209,cvx
8.6768,cvx
9.2528,cvx
9.0175,cvx
9.3919,cvx
9.399,cvx
9.1928,cvx
9.0727,cvx
8.8423,cvx
9.0091,cvx
9.0922,cvx
8.9766,cvx
9.2831,cvx
9.1103,cvx
9.1115,cvx
9.1541,cvx
8.591,cvx
8.7853,cvx
8.9514,cvx
9.3584,cvx
9.104,cvx
8.7762,cvx
8.9561,cvx
9.168,cvx
9.0514,cvx
9.1478,cvx
9.2474,cvx
8.9473,cvx
9.6243,cvx
8.992,cvx
9.0489,cvx
8.8472,cvx
9.1272,cvx
9.1535,cvx
8.9688,cvx
8.9579,cvx
9.2948,cvx
9.1827,cvx
9.1805,cvx
9.059,cvx
8.9493,cvx
9.1483,cvx
9.1777,cvx
9.1342,cvx
9.2053,cvx
8.9874,cvx
8.9162,cvx
9.4267,cvx
9.4919,cvx
9.4871,cvx
9.3448,cvx
9.2411,cvx
9.0839,cvx
9.2608,cvx
9.5017,cvx
8.7672,cvx
9.0235,cvx
9.1861,cvx
9.1174,cvx
9.4552,cvx
8.9504,cvx
8.8307,cvx
9.0776,cvx
8.8679,cvx
9.0831,cvx
9.1543,cvx
9.1671,cvx
8.8911,cvx
8.8274,cvx
9.2575,cvx
9.4477,cvx
9.5864,cvx
9.244,cvx
8.9195,cvx
9.0265,cvx
9.2916,cvx
8.8067,cvx
9.2913,cvx
8.9451,cvx
9.001,cvx
8.9889,cvx
8.9552,cvx
8.8705,cvx
8.7206,cvx
9.1277,cvx
1.7135,als
1.7191,als
1.7299,als
1.7121,als
1.7347,als
1.7227,als
1.7252,als
1.7038,als
1.725,als
1.7133,als
1.7238,als
1.7183,als
1.7214,als
1.7223,als
1.7116,als
1.7283,als
1.7101,als
1.7199,als
1.7167,als
1.722,als
1.7183,als
1.7165,als
1.6987,als
1.7047,als
1.719,als
1.7114,als
1.7072,als
1.7162,als
1.7214,als
1.7143,als
1.7125,als
1.7006,als
1.726,als
1.7164,als
1.721,als
1.7165,als
1.7363,als
1.7021,als
1.6984,als
1.7079,als
1.7127,als
1.7279,als
1.6992,als
1.718,als
1.7088,als
1.7542,als
1.7291,als
1.7151,als
1.7106,als
1.704,als
1.7155,als
1.7074,als
1.7153,als
1.71,als
1.7099,als
1.7141,als
1.6841,als
1.7356,als
1.7378,als
1.7133,als
1.7147,als
1.704,als
1.714,als
1.7204,als
1.7327,als
1.7083,als
1.7042,als
1.7294,als
1.7059,als
1.711,als
1.7263,als
1.7031,als
1.716,als
1.7292,als
1.7178,als
1.7224,als
1.7231,als
1.7235,als
1.705,als
1.7255,als
1.7117,als
1.7202,als
1.7169,als
1.712,als
1.7226,als
1.7133,als
1.7155,als
1.7104,als
1.7353,als
1.7141,als
1.7158,als
1.7165,als
1.7196,als
1.7036,als
1.7463,als
1.7292,als
1.7163,als
1.7218,als
1.7161,als
1.704,als
